,Headline,Links,Content
1,Discussions with other COVID vaccine manufacturers ongoing – DOST,http://cnnphilippines.com/news/2020/8/15/Discussions-with-other-COVID-vaccine-manufacturers-ongoing---DOST--.html,"By Paolo Barcelon, CNN Philippines"
3,"Good news on the vaccine front shows 'light at the end of the tunnel.' For now, the Covid crisis is unabated",http://cnnphilippines.com/world/2020/11/17/covid-vaccine-front.html,"Metro Manila (CNN Philippines, August 15) – Despite Russia’s offer of its Sputnik-V coronavirus vaccine to the Philippines, the Science and Technology Department said discussions are underway with other vaccine manufacturers around the world."
5,Duque willing to take first dose of COVID-19 vaccine,http://cnnphilippines.com/news/2020/12/6/duque-covid-vaccine.html,ADVERTISEMENT
7,"‘More to be done’ in gov’t COVID-19 vaccination program, says ex-VP",http://cnnphilippines.com/null/2021/1/11/Binay-COVID-vaccination.html,"[TRANSLATION: We are using different pathways here. First, there are collaboration agreements we are exploring for clinical trials with institutions…”]"
9,Vatican OKs getting Covid-19 vaccines that used cell lines from aborted fetuses,http://cnnphilippines.com/world/2020/12/22/Covid-vaccine-fetuses.html,"READ: Russia has nothing to hide about Sputnik V, says envoy"
11,Ghana becomes first country to receive Covid vaccine through COVAX program,http://cnnphilippines.com/world/2021/2/25/ghana-first-country-receive-covid-vaccine-covax.html,"“Mahaba-habang proseso dahil iaanalyze pa ng experts dito yung data na ibinibigay nila bago tayong magsimula ng clinical trials,” Dela Peña said."
13,The vaccine news is great for most stocks -- unless you're Zoom,http://cnnphilippines.com/business/2020/11/9/covid-vaccine-zoom-stocks.html,The secretary also said the vaccine will have to be approved by the Philippine Food and Drug Administration or FDA before it can be used.
15,Pfizer CEO: Our vaccine timing had nothing to do with politics,http://cnnphilippines.com/business/2020/11/10/pfizer-covid-vaccine-timing.html,"Six vaccines from China, the US, and the UK are currently in the third stage of clinical trials."
17,UK prepares to give first Covid-19 vaccinations as the world watches,http://cnnphilippines.com/world/2020/12/7/uk-first-covid-vaccinations.html,ADVERTISEMENT
19,"₱72.5 B set for COVID-19 vaccines in 2021 budget, but senators lament lack of clear plan",http://cnnphilippines.com/news/2020/12/9/2021-budget-covid-vaccine.html,"COVID-19 situation in PGH ‘stabilized,’ but non-urgent cases advised to seek other venues for consultations"
21,Bacolod City in talks with 8 firms for 400K COVID-19 vaccine doses,http://cnnphilippines.com/news/2021/1/5/bacolod-city-covid-vaccines.html,"Caloocan to reimpose curfew hours, use of quarantine passes amid rising COVID-19 cases"
23,Pope Francis says he is in line to take COVID-19 vaccine,http://cnnphilippines.com/world/2021/1/10/Pope-Francis-COVID-vaccine.html,
25,Queen Elizabeth and Duke of Edinburgh receive COVID-19 vaccine,http://cnnphilippines.com/world/2021/1/10/Queen-Elizabeth-COVID-vaccine.html,"© 2015 Nine Media Corp. CNN name, logo and all associated elements ™ and © 2015 Cable News Network. Turner Broadcasting System, Inc. All rights reserved. CNN and the CNN logo are registered marks of Cable News Network, Inc., displayed with permission."
27,"Chinese Covid-19 vaccine far less effective than initially claimed in Brazil, sparking concerns",http://cnnphilippines.com/world/2021/1/13/sinovac-covid-vaccine-efficacy.html,"By Paolo Barcelon, CNN Philippines"
29,Palace assures no favoritism in vaccines amid Sinovac preference allegations,http://cnnphilippines.com/news/2021/1/14/Palace-no-favoritism-COVID-vaccines.html,"Metro Manila (CNN Philippines, August 15) – Despite Russia’s offer of its Sputnik-V coronavirus vaccine to the Philippines, the Science and Technology Department said discussions are underway with other vaccine manufacturers around the world."
31,"Only about 2,000 people speak the Cherokee language fluently. The tribe is saving some vaccine doses for them",http://cnnphilippines.com/world/2021/1/12/cherokee-nation-covid-vaccine.html,ADVERTISEMENT
33,Infectious disease expert: Adverse events following immunization not always due to vaccines,http://cnnphilippines.com/news/2021/2/17/Adverse-events-COVID-vaccines.html,"[TRANSLATION: We are using different pathways here. First, there are collaboration agreements we are exploring for clinical trials with institutions…”]"
37,First COVID-19 vaccinator at PGH says vaccine ‘a glimmer of hope’,http://cnnphilippines.com/news/2021/2/15/First-COVID-vaccinator-PGH.html,"“Mahaba-habang proseso dahil iaanalyze pa ng experts dito yung data na ibinibigay nila bago tayong magsimula ng clinical trials,” Dela Peña said."
