,0
0,http://cnnphilippines.com/news/2020/8/15/Discussions-with-other-COVID-vaccine-manufacturers-ongoing---DOST--.html
1,http://cnnphilippines.com/world/2020/11/17/covid-vaccine-front.html
2,http://cnnphilippines.com/news/2020/12/6/duque-covid-vaccine.html
3,http://cnnphilippines.com/world/2020/12/22/Covid-vaccine-fetuses.html
4,http://cnnphilippines.com/world/2021/2/25/ghana-first-country-receive-covid-vaccine-covax.html
5,http://cnnphilippines.com/business/2020/11/9/covid-vaccine-zoom-stocks.html
6,http://cnnphilippines.com/business/2020/11/10/pfizer-covid-vaccine-timing.html
7,http://cnnphilippines.com/world/2020/12/7/uk-first-covid-vaccinations.html
8,http://cnnphilippines.com/news/2020/12/9/2021-budget-covid-vaccine.html
9,http://cnnphilippines.com/news/2021/1/14/Palace-no-favoritism-COVID-vaccines.html
10,http://cnnphilippines.com/world/2021/1/10/Pope-Francis-COVID-vaccine.html
11,http://cnnphilippines.com/world/2021/1/10/Queen-Elizabeth-COVID-vaccine.html
12,http://cnnphilippines.com/news/2021/1/5/bacolod-city-covid-vaccines.html
13,http://cnnphilippines.com/world/2021/1/12/cherokee-nation-covid-vaccine.html
14,http://cnnphilippines.com/world/2021/1/13/sinovac-covid-vaccine-efficacy.html
15,http://cnnphilippines.com/news/2021/2/16/galvez-covid-vaccine-shortage.html
16,http://cnnphilippines.com/world/2021/2/5/covid-vaccines-cancer-patients.html
17,http://cnnphilippines.com/news/2021/2/15/First-COVID-vaccinator-PGH.html
18,http://cnnphilippines.com/news/2021/2/17/Adverse-events-COVID-vaccines.html
19,http://cnnphilippines.com/news/2021/2/19/Duterte-COVID-vaccine-delay.html
20,http://cnnphilippines.com/world/2021/3/3/mammograms-swelling-covid-vaccine.html
21,http://cnnphilippines.com/business/2020/8/5/Moderna-already-got--400-million-for-a-Covid-vaccine-that-isn-t-available.html
22,http://cnnphilippines.com/world/2020/8/12/russia-covid-vaccine-sputnik-v.html
