,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,urls,page
0,0.0,0.0,0.0,0.0,https://www.manilatimes.net/2021/03/11/news/regions/frontliners-first-to-get-covid-19-vaccine-in-lanao/849745/,1.0
1,1.0,1.0,1.0,1.0,https://www.manilatimes.net/2021/03/11/business/foreign-business/1-9-t-covid-aid-to-pass-wednesday/849725/,1.0
2,2.0,2.0,2.0,2.0,https://www.manilatimes.net/2021/03/11/news/national/enforce-health-protocols-police-told/849830/,1.0
3,3.0,3.0,3.0,3.0,https://www.manilatimes.net/2021/03/10/news/govt-mulls-24-7-covid-19-vaccination-drive/849651/,1.0
4,4.0,4.0,4.0,4.0,https://www.manilatimes.net/2021/03/10/news/national/dilg-orders-crackdown-on-protocol-violators/849411/,1.0
5,5.0,5.0,5.0,5.0,https://www.manilatimes.net/2021/03/10/news/national/lgus-key-to-licking-covid-variants-who/849402/,1.0
6,6.0,6.0,6.0,6.0,https://www.manilatimes.net/2021/03/10/news/national/ph-to-sign-supply-deal-for-30-m-novavax-doses/849393/,1.0
7,7.0,7.0,7.0,7.0,https://www.manilatimes.net/2021/03/09/news/ph-logs-2668-new-covid-cases-as-count-reaches-600k/849435/,1.0
8,8.0,8.0,8.0,8.0,https://www.manilatimes.net/2021/03/09/news/fully-vaccinated-people-can-gather-without-masks-cdc/849200/,1.0
9,9.0,9.0,9.0,9.0,https://www.manilatimes.net/2021/03/09/news/manila-kicks-off-jabs-for-elderly-health-workers-with-astrazeneca/849426/,1.0
10,10.0,10.0,10.0,0.0,https://www.manilatimes.net/2021/03/09/news/manila-kicks-off-jabs-for-elderly-health-workers-with-astrazeneca/849426/,2.0
11,11.0,11.0,11.0,1.0,https://www.manilatimes.net/2021/03/09/news/duterte-to-public-amid-rising-covid-19-cases-please-guard-yourself/849075/,2.0
12,12.0,12.0,12.0,2.0,https://www.manilatimes.net/2021/03/09/news/covid-19-cases-up-in-calabarzon-ncr-central-luzon/849008/,2.0
13,13.0,13.0,13.0,3.0,https://www.manilatimes.net/2021/03/09/news/regions/covid-19-cases-surge-in-cavite-governor/848975/,2.0
14,14.0,14.0,14.0,4.0,https://www.manilatimes.net/2021/03/08/news/world/chinese-vaccines-a-key-weapon-against-covid-19/849081/,2.0
15,15.0,15.0,15.0,5.0,https://www.manilatimes.net/2021/03/08/news/covid-19-admissions-in-pgh-increase/848208/,2.0
16,16.0,16.0,16.0,6.0,https://www.manilatimes.net/2021/03/08/news/regions/covid-19-cases-increase-in-bpo-firms-alarms-baguio/848230/,2.0
17,17.0,17.0,17.0,7.0,https://www.manilatimes.net/2021/03/07/news/ph-logs-3276-new-covid-19-cases/848164/,2.0
18,18.0,18.0,18.0,8.0,https://www.manilatimes.net/2021/03/06/news/metro-lgus-lauded-for-fast-rollout-of-increased-confidence-in-vaccines-of-health-workers/848137/,2.0
19,19.0,19.0,19.0,9.0,https://www.manilatimes.net/2021/03/06/news/galvez-covid-19-vaccines-delivered-in-march-april-still-for-health-workers/847924/,2.0
20,20.0,20.0,20.0,0.0,https://www.manilatimes.net/2021/03/06/opinion/columnists/topanalysis/how-a-changing-virus-is-reshaping-scientists-views-on-covid-19/847781/,3.0
21,21.0,21.0,21.0,1.0,https://www.manilatimes.net/2021/03/05/news/armed-forces-chief-leads-first-vaccine-delivery-outside-metro-manila/847840/,3.0
22,22.0,22.0,22.0,2.0,https://www.manilatimes.net/2021/03/05/news/ph-logs-highest-covid-cases-in-6-months/847803/,3.0
23,23.0,23.0,23.0,3.0,https://www.manilatimes.net/2021/03/05/news/pfizer-vaccines-to-arrive-within-next-couple-of-weeks-says-envoy/847836/,3.0
24,24.0,24.0,24.0,4.0,https://www.manilatimes.net/2021/03/04/news/covid-19-vaccines-eyed-for-cabinet-execs/847326/,3.0
25,25.0,25.0,25.0,5.0,https://www.manilatimes.net/2021/03/04/news/regions/pulilan-holds-vaccination-program-vs-covid-19/847185/,3.0
26,26.0,26.0,26.0,6.0,https://www.manilatimes.net/2021/03/04/campus-press/are-we-in-the-same-boat/847234/,3.0
27,27.0,27.0,27.0,7.0,https://www.manilatimes.net/2021/03/03/news/palace-assures-continuous-vaccination-vs-covid-19/847011/,3.0
28,28.0,28.0,28.0,8.0,https://www.manilatimes.net/2021/03/03/videos/magpapabakuna-ka-ba/847005/,3.0
29,29.0,29.0,29.0,9.0,https://www.manilatimes.net/2021/03/02/news/more-than-400-acts-of-violence-against-covid-health-workers-in-2020-report/846781/,3.0
30,30.0,30.0,0.0,,https://www.manilatimes.net/2021/03/02/news/latest-stories/covid-19-cases-surge-in-ncr/846780/,4.0
31,31.0,31.0,1.0,,https://www.manilatimes.net/2021/03/02/news/deal-reached-to-get-california-children-back-in-classrooms/846702/,4.0
32,32.0,32.0,2.0,,https://www.manilatimes.net/2021/03/02/news/new-cases-of-uk-south-african-variants-detected-in-ph/846701/,4.0
33,33.0,33.0,3.0,,https://www.manilatimes.net/2021/03/02/news/headlines/expert-no-time-to-be-choosy-with-vaccine/846670/,4.0
34,34.0,34.0,4.0,,https://www.manilatimes.net/2021/03/02/news/national/vaccine-gives-us-hope/846668/,4.0
35,35.0,35.0,5.0,,https://www.manilatimes.net/2021/02/28/news/latest-stories/ph-logs-2113-new-covid-cases/846194/,4.0
36,36.0,36.0,6.0,,https://www.manilatimes.net/2021/02/28/news/latest-stories/lawmaker-seeks-media-help-on-covid-19-vaccine-info-campaign/846187/,4.0
37,37.0,37.0,7.0,,https://www.manilatimes.net/2021/02/28/second-headline/govt-to-expedite-mass-vaccination-program-go/846183/,4.0
38,38.0,38.0,8.0,,https://www.manilatimes.net/2021/02/28/news/headlines/health-care-workers-can-choose-vaccine/846160/,4.0
39,39.0,39.0,9.0,,https://www.manilatimes.net/2021/02/28/opinion/editorial/confident-of-rebound-despite-challenges/846098/,4.0
40,40.0,40.0,0.0,,https://www.manilatimes.net/2021/02/28/news/regions/covid-19-victims-get-cash-assistance/846022/,5.0
41,41.0,41.0,1.0,,https://www.manilatimes.net/2021/02/27/news/palace-astrazeneca-vaccines-to-arrive-in-ph-on-march-1/846175/,5.0
42,42.0,42.0,2.0,,https://www.manilatimes.net/2021/02/27/news/ph-logs-highest-number-of-covid-cases-in-4-months/846176/,5.0
43,43.0,43.0,3.0,,https://www.manilatimes.net/2021/02/27/news/palace-metro-manila-9-other-areas-remain-under-gcq-in-march/845872/,5.0
44,44.0,44.0,4.0,,https://www.manilatimes.net/2021/02/27/supplements/fight-vs-covid-19-takes-center-stage-in-dutertes-4th-year/845766/,5.0
45,45.0,45.0,5.0,,https://www.manilatimes.net/2021/02/25/news/latest-stories/fda-says-single-dose-shot-from-jj-prevents-severe-covid/845155/,5.0
46,46.0,46.0,6.0,,https://www.manilatimes.net/2021/02/25/campus-press/human-dynamics-in-the-new-normal/844964/,5.0
47,47.0,47.0,7.0,,https://www.manilatimes.net/2021/02/25/campus-press/under-new-management/844967/,5.0
48,48.0,48.0,8.0,,https://www.manilatimes.net/2021/02/24/news/latest-stories/ph-tallies-1557-new-covid-cases/844960/,5.0
49,49.0,49.0,9.0,,https://www.manilatimes.net/2021/02/24/news/latest-stories/palace-distances-self-from-tulfo-claim-on-sinopharm-vaccines/844953/,5.0
50,50.0,50.0,0.0,,https://www.manilatimes.net/2021/02/24/news/latest-stories/palace-invites-robredo-to-join-volunteer-public-officials-for-sinovac-inoculation/844951/,6.0
51,51.0,51.0,1.0,,https://www.manilatimes.net/2021/02/24/news/latest-stories/mmda-buys-astrazeneca-vaccines-for-8000-employees/844950/,6.0
52,52.0,52.0,2.0,,https://www.manilatimes.net/2021/02/24/news/latest-stories/55-pasay-villages-under-localized-community-quarantine/844779/,6.0
53,53.0,53.0,3.0,,https://www.manilatimes.net/2021/02/24/news/trillanes-to-duterte-focus-on-vaccine-rollout-will-have-you-jailed-in-2022/844778/,6.0
54,54.0,54.0,4.0,,https://www.manilatimes.net/2021/02/24/news/world/mongolia-receives-covid-19-vaccine-donation-from-china/844762/,6.0
55,55.0,55.0,5.0,,https://www.manilatimes.net/2021/02/23/news/latest-stories/not-to-be-sniffed-at-agony-of-post-covid-19-loss-of-smell/844555/,6.0
56,56.0,56.0,6.0,,https://www.manilatimes.net/2021/02/23/news/latest-stories/govt-eyes-further-reopening-of-industries-under-gcq-nograles/844499/,6.0
57,57.0,57.0,7.0,,https://www.manilatimes.net/2021/02/23/news/latest-stories/mayors-defer-to-duterte-over-gcq-status-in-metro-manila/844436/,6.0
58,58.0,58.0,8.0,,https://www.manilatimes.net/2021/02/22/business/business-top/widen-amusement-tax-coverage-lgus-told/843639/,6.0
59,59.0,59.0,9.0,,https://www.manilatimes.net/2021/02/21/news/latest-stories/cebu-bishop-priest-test-positive-for-covid-19/843557/,6.0
60,60.0,0.0,,,https://www.manilatimes.net/2021/02/21/opinion/editorial/coronavirus-vaccines-in-the-world-of-make-believe/843454/,7.0
61,61.0,1.0,,,https://www.manilatimes.net/2021/02/20/news/latest-stories/ph-logs-2240-new-cases-highest-in-feb/843240/,7.0
62,62.0,2.0,,,https://www.manilatimes.net/2021/02/20/news/regions/cebu-archbishop-tests-positive-for-covid-19/842893/,7.0
63,63.0,3.0,,,https://www.manilatimes.net/2021/02/19/news/latest-stories/ph-logs-1901-new-covid-19-cases/843010/,7.0
64,64.0,4.0,,,https://www.manilatimes.net/2021/02/19/news/latest-stories/manila-releases-advance-payment-for-astrazeneca/842977/,7.0
65,65.0,5.0,,,https://www.manilatimes.net/2021/02/19/news/latest-stories/reopening-of-cinemas-even-at-20-capacity-pushed/842909/,7.0
66,66.0,6.0,,,https://www.manilatimes.net/2021/02/19/news/latest-stories/cebu-archbishop-palma-tests-positive-for-covid/842878/,7.0
67,67.0,7.0,,,https://www.manilatimes.net/2021/02/19/news/latest-stories/2-covid-mutations-detected-in-central-visayas-samples/842876/,7.0
68,68.0,8.0,,,https://www.manilatimes.net/2021/02/19/opinion/columnists/secure-and-insecure-citizenship/842604/,7.0
69,69.0,9.0,,,https://www.manilatimes.net/2021/02/18/second-headline/un-chief-urges-global-plan-to-reverse-unfair-vaccine-process/842341/,7.0
70,0.0,,,,https://www.manilatimes.net/2021/02/18/campus-press/are-supervisors-still-relevant-in-the-next-normal/842225/,8.0
71,1.0,,,,https://www.manilatimes.net/2021/02/18/campus-press/this-pandemic-a-punctuated-equilibrium/842227/,8.0
72,2.0,,,,https://www.manilatimes.net/2021/02/17/news/latest-stories/ph-signs-no-liability-deal-with-pfizer-astrazeneca/842151/,8.0
73,3.0,,,,https://www.manilatimes.net/2021/02/17/news/latest-stories/palace-new-normal-possible-for-covid-free-areas/842135/,8.0
74,4.0,,,,https://www.manilatimes.net/2021/02/17/second-headline/eu-to-launch-program-for-second-generation-covid-19-vaccines/841889/,8.0
75,5.0,,,,https://www.manilatimes.net/2021/02/17/news/latest-stories/duterte-signs-law-to-cushion-impact-of-pandemic-on-financial-institutions/841871/,8.0
76,6.0,,,,https://www.manilatimes.net/2021/02/16/second-headline/covid-19-shots-might-be-tweaked-if-variants-get-worse/841517/,8.0
77,7.0,,,,https://www.manilatimes.net/2021/02/16/news/latest-stories/who-13-mideast-nations-have-new-variant-cases/841518/,8.0
78,8.0,,,,https://www.manilatimes.net/2021/02/15/second-headline/virus-may-never-go-away-but-could-change-into-mild-annoyance/841271/,8.0
79,9.0,,,,https://www.manilatimes.net/2021/02/14/opinion/editorial/hate-crimes-increasingly-target-asians-in-america/840791/,8.0
80,0.0,,,,https://www.manilatimes.net/2021/02/14/news/world/britains-covid-19-cases-breach-4-million/840711/,9.0
81,1.0,,,,https://www.manilatimes.net/2021/02/13/news/latest-stories/doh-allays-fears-of-new-variant-spread/840431/,9.0
82,2.0,,,,https://www.manilatimes.net/2021/02/13/opinion/analysis/covid-19-has-shown-humanity-at-its-best-and-worst/840258/,9.0
83,3.0,,,,https://www.manilatimes.net/2021/02/12/news/national/covid-spikes-in-3-regions-but-cases-drop-slightly/839844/,9.0
84,4.0,,,,https://www.manilatimes.net/2021/02/11/news/latest-stories/ph-records-1734-new-covid-cases/840043/,9.0
85,5.0,,,,https://www.manilatimes.net/2021/02/11/news/latest-stories/house-on-abs-cbn-franchise-wait-until-next-congress/839641/,9.0
86,6.0,,,,https://www.manilatimes.net/2021/02/11/news/latest-stories/duterte-ph-ready-to-work-constructively-with-eu-despite-vaccine-hostage-claim/839613/,9.0
87,7.0,,,,https://www.manilatimes.net/2021/02/11/business/at-a-glance-business/covid-19-drags-cic-sales-by-double-digits/839558/,9.0
88,8.0,,,,https://www.manilatimes.net/2021/02/11/news/headlines/cebu-on-the-brink/839554/,9.0
89,9.0,,,,https://www.manilatimes.net/2021/02/11/opinion/columnists/covid-19-gets-deadlier-and-tougher-to-stop/839484/,9.0
90,0.0,,,,https://www.manilatimes.net/2021/02/10/news/latest-stories/manila-provides-monthly-food-subsidies-to-700k-families/838984/,10.0
91,1.0,,,,https://www.manilatimes.net/2021/02/10/news/latest-stories/who-team-coronavirus-unlikely-to-have-leaked-from-china-lab/838856/,10.0
92,2.0,,,,https://www.manilatimes.net/2021/02/10/news/national/pasay-city-mayor-contracts-covid-19/838791/,10.0
