,urls,authors,dates,headlines,contents
0,https://www.manilatimes.net/2021/03/11/news/regions/frontliners-first-to-get-covid-19-vaccine-in-lanao/849745/,Asangan T. Madale,"March 11, 2021",Frontliners first to get Covid-19 vaccine in Lanao,"Lanao del Norte Gov. Imelda ‘Angging’ Quibranza-Dimaporo together with Rep. Mohamad Khalid Quibranza-Dimaporo witnessed the inoculation of the first recipient of the Sinovac vaccine, Dr. Shoraynah Tucal, chief of the provincial hospital, during the rollout of the program held at Kapatagan Provincial Hospital. A total of 374 vaccines arrived last March 6 to be administered to health workers in three provincial hospitals, namely Lanao Norte Provincial Hospital in Baroy, Kolambugan Provincial Hospital and Kapatagan Provincial Hospital. On the first day, around 130 frontliners were vaccinated by a team from DoH-10. “This vaccination does not mark the end of our fight against Covid-19 but this is just a beginning. We should not be all confident and overlook things. We should continue to observe health protocols for this is not the cure, however, this will give us additional protection from our invisible opponent, the coronavirus.” Gov. Angging said. Aside from LNPH chief Dr. Tucal, other key officials who witnessed the event were Vice Gov. Cristy Atay, board member Harris Ali, KPH chief Dr. Remedios Fernandez, Kolambugan Provincial Hospital head Dr. Demetrio Opamen Jr and Dr. Marujetta Opamen, head of the Provincial Health Office."
1,https://www.manilatimes.net/2021/03/11/business/foreign-business/1-9-t-covid-aid-to-pass-wednesday/849725/,Agence France-Presse,"March 11, 2021",$1.9-T Covid aid to pass Wednesday,"WASHINGTON, D. C.: United States President Joe Biden’s massive relief plan is on track to cross the finish line on Wednesday (Thursday in Manila) with a final House vote, stimulating an economy digging out from the coronavirus disease 2019 (Covid-19) pandemic and offering a lifeline for millions of families. The $1.9-trillion package, broadly popular with Americans and approved by the Senate over the weekend, is expected to narrowly clear Congress days before a crucial deadline, culminating a weeks-long negotiation over its cost and scope. If it reaches his desk, Biden — who made the American Rescue Plan his top legislative priority — could sign the historic bill into law by week’s end. But the plan that funds Covid-19 vaccines, preserves unemployment benefits for millions, and sends relief checks of up to $1,400 to most Americans can afford very few Democratic defections. All Republicans are in lockstep against the package, and Democrats enjoy the smallest majority in years in the 435-seat House of Representatives. A Tuesday vote laying out the parameters of the next day’s action on the bill augured its narrow path to success. The tally was 219 to 210 in favor of proceeding, with no
Republicans in support and one Democrat joining their party in opposition. Rep. Hakeem Jeffries, chairman of the House Democratic caucus, said he was “110 percent” confident the bill will pass. In an effort to drive home how this sweeping package helps the economy, Biden on Tuesday visited a business billed as Washington’s oldest hardware store, which has benefitted from the Paycheck Protection Program (PPP) begun under Donald Trump’s administration to help businesses stay afloat during the crisis. “We’re going to continue this,” Biden said of the PPP as he chatted with store owner Mike Siegel. The president took a jab at Trump, though, saying that “a lot of money went to people who shouldn’t have gotten help” through the PPP because some of the beneficiary companies were too large and therefore not supposed to qualify. Biden’s administration will tailor the program so that it focuses on businesses with 20 employees or fewer, he said. Left-wing Sen. Bernie Sanders tweeted “Finally, our government is responding to the pain of working people.” The last congressional plan to fight the coronavirus, which has to date left more than 527,000 dead in the United States and brought the economy to its knees, was enacted in December. It expanded unemployment payments by $300 a week, and extended them through March 14. That deadline has loomed as Biden and congressional Democrats crafted their latest package, but it appears they will meet it and extend the benefits until early September. “It’s a remarkable, historic, transformative piece of legislation which goes a very long way to crushing the virus and solving our economic crisis,” House Speaker Nancy Pelosi told reporters."
2,https://www.manilatimes.net/2021/03/11/news/national/enforce-health-protocols-police-told/849830/,CHRISTIAN CROW MAGHANOY,"March 11, 2021","Enforce health protocols, police told","Philippine National Police chief Gen. Debold Sinas on Wednesday directed all police units to strictly enforce public health guidelines amid the rising cases of Covid-19. The PNP chief also appealed to the public anew for greater awareness and cooperation in the implementation and observance of health protocols. “We cannot afford to lower our guard against the virus, especially at this point when the cure is already within reach,” Sinas said. He added that the police force “will remain vigilant in enforcing public health guidelines and local ordinances that seek to mitigate the effects of the pandemic that has so far infected 600,000 Filipinos, 12,000 of whom have died due to medical complications.” Sen. Ana Theresia “Risa” Hontiveros, meanwhile, rejected the proposal to deploy military and police personnel to arrest individuals who breach health protocols. The senator deplored “the militaristic approach” to the pandemic, saying it was “a repeat of the mistakes of the past.” She said it would only delay the swift response needed to deal with the rise in cases which the World Health Organization (WHO) said might require the country to return to a stricter lockdown like in July 2020. “What is this, throwback to 2020?” asked Hontiveros. She noted that during the world’s longest lockdown, police arrested 76,000 people for breaching health protocols from March to July last year. “The cases did not go down and only overwhelmed health workers that they had to beg for a 2-week circuit-breaker,” the senator said in a statement. She lamented that deploying uniformed personnel was an ineffective and anti-poor strategy. She cited the case of the five youths arrested in Laguna at the start of the lockdown who were detained in a dog cage. “There is a way to enforce stricter health protocols humanely and non-violently. It’s 2021 already. Let’s do this the right way,” Hontiveros said. Sen. Panfilo Lacson, on the other hand, said civilians should also do their part “by cooperating with lawful instructions and following the proper health protocols.” “This is the key to minimizing the spread of the coronavirus. We are under a state of public health emergency by virtue of Presidential Proclamation 922,” Lacson said. “The country is still struggling to recover from the Covid-19 pandemic. In fact, there is a noticeable spike in the past few days, and the government must use its police power under the Constitution to make sure that the further spread of the virus is prevented or controlled,” he added. With Bernadette E. Tamayo"
3,https://www.manilatimes.net/2021/03/10/news/govt-mulls-24-7-covid-19-vaccination-drive/849651/,Keith Calayag,"March 10, 2021",Govt mulls 24/7 Covid-19 vaccination drive,"THE government is considering a 24-hour vaccination drive in the country once the bulk of the coronavirus disease 2019 (Covid-19) doses arrive, an official of the National Task Force against Covid-19 said on Wednesday. Deputy Chief Implementer Vivencio “Vince” Dizon told the Laging Handa public briefing in Filipino on Wednesday that while the proposal is under review, “we also have to manage the situation of our vaccinators”. He said medical frontliners can take on two to three shifts a day to hasten the inoculation of the general population. Dizon said the government is eyeing to vaccinate up to 300,000 Filipinos per day to achieve its goal of inoculating up to 70 million once the bulk of the vaccines arrives. Dizon said the government is confident about the supply and “with the help of the LGUs (local government units), private firms, we will be able to reach the target. What we need right now are supplies”. Dizon also expressed confidence that the government will be able to reach its target of inoculating 50 to 70 million Filipinos but pointed out that this will happen only if the vaccines secured by the government will be delivered on time."
4,https://www.manilatimes.net/2021/03/10/news/national/dilg-orders-crackdown-on-protocol-violators/849411/,Red Mendoza,"March 10, 2021",DILG orders crackdown on protocol violators,"The Department of the Interior and Local Government (DILG) has ordered a crackdown on violators of health and safety protocols on containing the spread of Covid-19 and urged local government units (LGUs) to lead the campaign. GOTCHA! A personnel of the Quezon City Department of Public Order and Safety grabs a violator of health protocols after a brief chase on March 9, 2021. The Health department had attributed the rising number of Covid-19 cases to the low compliance with health policies. PHOTO BY RUY L. MARTINEZ DILG Undersecretary Jonathan Malaya on Tuesday said the department issued a circular that also directed the LGUs to submit a list of areas in their jurisdictions where testing for Covid-19 needs to be conducted. He urged the LGUs to each pass an ordinance penalizing the violators. Malaya said the DILG deployed 180 policemen in Pasay City, reportedly experiencing a surge in virus cases, to enforce health and safety protocols to stop Covid-19 from fanning out. On a positive note, the majority of adult Filipinos tend to use masks and face shields to avoid contracting Covid-19, while some only practice physical distancing and staying at home for the same reason. Results of the academe-based Octa Research’s Tugon ng Masa (Answer of the Masses) national survey showed that 91 percent use masks, 90 percent regularly wash their hands and 82 percent wear face shields. Seven out of 10 Filipinos, or 67 percent, observe physical distancing, while 60 percent said they stay at home to prevent the spread of the virus. Twenty percent, or 2 out of 10 Filipinos, will consult a doctor when they are not feeling well, according to the survey. It also showed that 89 percent regularly wear masks when going out of the house, 64 percent use face shields and masks and 68 percent regularly observe physical distancing when engaging with other people outside the house. Nearly three-fourths of Filipinos said they have become close to family members during the pandemic while half of the respondents lost their job or source of income because of the pandemic. Forty-six percent said their salaries have decreased during the health crisis. Three out of 10 Filipinos, or 28 percent, said they have experienced emotional problems such as stress and extreme sadness during the pandemic, with adult Filipinos in Metro Manila having the highest number at 40 percent and class E the highest among socioeconomic classes at 35 percent. The survey, which had 1,200 respondents aged 18 and above answering face-to-face questions nationwide, had a confidence level of 95 percent with a plus or minus 3 percent margin of error. With reports from CHRISTIAN CROW MAGHANOY"
5,https://www.manilatimes.net/2021/03/10/news/national/lgus-key-to-licking-covid-variants-who/849402/,Red Mendoza,"March 10, 2021",LGUs key to licking Covid variants – WHO,"The World Health Organization (WHO) believes that the Philippines can still control the spread of new Covid-19 variants through intensified response from local government units (LGUs) coupled with compliance with minimum public health standards. WHO Country Representative Rabindra Abeyasinghe. PHOTO BY J. GERARD SEGUIA According to WHO Country Representative Dr. Rabindra Abeyasinghe, the LGUs should lead in the effort on early detection, quarantine and granular lockdowns to prevent increase in cases that may lead to a regional community lockdown just like last year. “We need to go back to ensuring that public- health measures are fully implemented and that the authorities fully implement the early detection, early quarantining, isolation of cases and, if necessary, limited lockdowns in [villages] with clustering of such cases to prevent further spread,” Abeyasinghe said in a news briefing on Tuesday. The Department of Health (DoH) on Monday blamed an increase in the number of cases in the country on the public’s noncompliance with the minimum health standards, an uptick that was aggravated by the presence of the B117 or the United Kingdom variant and the B1351 or the South African variant of the virus. Both variants have higher transmission rates and, in the case of the South African variant, may affect the efficacy of vaccines being rolled out globally. Abeyasinghe said the WHO is carefully monitoring the variants that have spread across the globe by working with different research institutions to understand how they act. He added that the current increase in the number of cases does not constitute a “second wave” of infection, as the region did not experience a true “flattening of the curve” or a decrease in the number of cases specifically in the National Capital Region (NCR or Metro Manila). “I would not classify this as a second wave… We should have seen a flattening of the curve and in the case of NCR, we did not see a flattening. We always knew that there is a thick chain of transmission although the numbers went down…. [there] were still significant
levels of transmission in the community,” Abeyasinghe said. He added that determination of community transmission of the variants is not possible because of the limited number of variants and that the testing for the variants remains expensive. “The number of variants confirmed is limited…. With limited testing for variants being done, the key issue is interpreting the findings and doing representative sampling and that is what we are doing with the DoH to strengthen, as it is not possible in an economic standpoint variant genome sequencing for every Covid patient,” Abeyasinghe said. On Tuesday, the country logged 2,668 new cases of Covid-19, pushing the total number of infections to 600,428."
6,https://www.manilatimes.net/2021/03/10/news/national/ph-to-sign-supply-deal-for-30-m-novavax-doses/849393/,"Catherine S. Valente, TMT","March 10, 2021",PH to sign supply deal for 30-M Novavax doses,"The Philippines will finally sign on Wednesday a supply agreement with Novavax for its vaccine against Covid-19, Malacañang said on Tuesday. In a virtual news briefing, Palace spokesman Harry Roque Jr. said the deal would cover 30-million Novavax Covid-19 shots. Secretary Carlito Galvez Jr. Screengrab from Senate FB livestream on the Senate Committee of the Whole hearing on the government’s COVID-19 vaccination program. Vaccine czar Carlito Galvez Jr. earlier said he was going to India to sign the supply agreement. Galvez added that the Philippines might also sign a supply agreement for doses of AstraZeneca and Covishield vaccines manufactured by the Serum Institute of India. The Philippines earlier received 500,000 doses of AstraZeneca vaccines from the World Health Organization-led Covax Facility. The vaccines developed by Novavax and AstraZeneca are being manufactured by Serum Institute of India, the world’s largest vaccine manufacturer. An early data readout in January from its United Kingdom trial showed the vaccine to be around 96 percent effective against the original coronavirus and around 86 percent effective against the now widely circulating variant first discovered in Britain. Novavax completed enrollment of its 30,000-subject, US-based trial in February. Meanwhile, Roque said the government has signed a purchase order for 1 million doses from China’s Sinovac Biotech and a supply agreement for 13 million doses from another American drugmaker, Moderna Inc., which would add to the country’s Covid-19 vaccine supply. This is aside from 600,000 doses of Sinovac vaccines that were donated by the Chinese government and arrived in the country last week. Currently, the government only has a supply agreement with AstraZeneca for the procurement of 17 million doses of its Covid-19 vaccine that will be paid for by the private sector and local government units. It plans to give free inoculation to 70 million Filipinos to reach herd immunity."
7,https://www.manilatimes.net/2021/03/09/news/ph-logs-2668-new-covid-cases-as-count-reaches-600k/849435/,Red Mendoza,"March 9, 2021","PH logs 2,668 new Covid cases as count reaches 600k","THE Philippines tallied 2,668 new case of the coronavirus disease 2019 (Covid-19), raising the number of infections to 600,428, the Department of Health (DoH) said on Tuesday. Of the total cases, 41,822 are either mild or asymptomatic while the rest are severe or critical. Recoveries are at 546,078, including 171 newly-recovered patients, or equivalent to 90.9 percent of the total caseload, while seven were added to the death toll that now totals 12,528. Nearly 1,600 of the 19,590 samples tested positive for the virus, pushing the positivity rate to 8.1 percent. The country is ranked 30th across the globe in total number of Covid cases, with 117.2 million people infected and 2.6 million dead, according to Johns Hopkins University."
8,https://www.manilatimes.net/2021/03/09/news/fully-vaccinated-people-can-gather-without-masks-cdc/849200/,Agence France-Presse,"March 9, 2021",Fully vaccinated people can gather without masks – CDC,"WASHINGTON, D.C.: People who have been fully vaccinated against Covid-19 can gather indoors unmasked with others who have been vaccinated, the US Centers for Disease Control and Prevention said in new guidance Monday. Those who are fully vaccinated can also visit with unvaccinated people from one other household indoors without masks or distancing so long as the unvaccinated people are not at high risk for severe Covid-19, added CDC Director Rochelle Walensky. Fully vaccinated people who come into contact with someone who has Covid-19 also won’t need to take a test or quarantine unless they show symptoms — unless they live in a congregate setting like a nursing home or correctional facility. The recommendations came as US states were moving to reopen schools and businesses amid a drop in cases. Some 59 million Americans have now received one or more vaccine doses — about 23 percent of the adult population — and the immunization rate has been steadily rising after a shaky start. People are considered fully vaccinated two weeks after their second dose in a two-dose series, like the Pfizer or Moderna vaccines, or two weeks after a single-dose vaccine like Johnson & Johnson’s. Two women wearing face masks as a protection against the coronavirus disease take a selfie during snowfall in central Moscow on March 8, 2021. AFP PHOTO While the new guidance will come as welcome news, particularly for the elderly who are now free to visit with their healthy children and grandchildren, many restrictions have not changed. The CDC continues to recommend that fully-vaccinated people wear masks and maintain social distancing in public, or in indoor gatherings involving people from more than one household. And the new guidance does not apply to meetings with people who have underlying conditions that place them at higher risk for severe Covid. The health agency also continues to recommend against attending larger gatherings and advises against domestic or foreign travel. Scientists are now very confident that authorized Covid vaccines protect people against severe disease and death. There is also growing evidence that they stop infections — though probably not at the same rate as they stop disease — but more research is needed to get a firmer idea.  "
9,https://www.manilatimes.net/2021/03/09/news/manila-kicks-off-jabs-for-elderly-health-workers-with-astrazeneca/849426/,John Eric Mendoza,"March 9, 2021",Manila kicks off jabs for elderly health workers with AstraZeneca,"THE Manila City Government on Tuesday began the inoculation of elderly health care workers (HCWs) against the coronavirus disease 2019 (Covid-19) using AstraZeneca’s vaccine. Mayor Francisco “Isko Moreno”, together with vice Mayor Maria Shiela “Honey” Lacuna, led the kick off at the Ospital ng Maynila. As of Tuesday, some 336 elderly medical front liners have been inoculated with the AstraZeneca vaccine while 436 younger ones received CoronaVac, Domagoso said on social media. About 1,000 doses of the AstraZeneca vaccines were delivered to the city, Domagoso said. Domagoso said that “only when all senior citizen medical front liners are vaccinated with AstraZeneca could we give the vaccine to other HCWs,” Domagoso told reporters in Filipino during an ambush interview at the  Ospital ng Maynila. CoronaVac has not been recommended for medical staff who are 59 years old and above. Meanwhile, the city government has imposed a four-day lockdown on Barangay 351 and 725, which have 12 and 14 active cases respectively and on the Malate Bayview Mansion in Barangay 699 and the Hop Inn Hotel, which have 14 and 3. Under Executive Order 06, villages with more than 10 active infections will be put under lockdown starting on March 11 at 12:01 a.m. until March 14 at 11:59 p.m. Residents of the affected villages and establishments shall be strictly confined to their areas and are prohibited from going outside, except those who are health workers, utility workers, essential workers, barangay, police and military personnel, along with accredited media practitioners. “It is my obligation to protect everyone at all cost … we are serious with our lockdowns here in Manila,” the mayor added on social media. As of Tuesday, Manila has 29,444 cases, 988 of which are active; 27,639 recoveries; and 817 deaths."
