,url,titles,authors,published_date,articles_content,news_org
0,https://www.pna.gov.ph/articles/1133350,"Bong Go wants to be president: PRRD
By Ruth Abbey Gita-Carlos March 11, 2021, 7:21 pm
Share",Ruth Abbey Gita-Carlos,"March 11, 2021, 7:21 pm","Senator Christopher “Bong” Go and President Rodrigo Duterte (File photo)
MANILA – Senator Christopher Lawrence “Bong” Go is eyeing the presidential seat next year, President Rodrigo Duterte said on Thursday.
Duterte made the announcement when he introduced Go during the inauguration of the newly-constructed Port Operations Building at the Port of Dumaguete in Dumaguete City, Negros Oriental.
In his speech, he said Go had asked him a favor to tell the public about the lawmaker’s supposed plan to join the 2022 presidential race.
“Itong si Senator Bong Go, pababa kami sa eroplano, sabi niya na ‘Sir, may hingin sana ako saýo ng pabor.’ Sabi ko, ‘Ano?’ Sabi niya, ‘Medyo, it leaves a bad taste in the mouth, malayo pa pero ikaw na lang ang mag-sabi sa kanila.’ Sabihin ko, ang totoo talaga, isang bagay lang. Sabihin daw sa inyo, gusto niya maging president (Senator Bong Go, when we were about to disembark from the plane, said, ‘Sir, I have a favor to ask.’ I asked him, ‘What is that?’ He said, ‘It somehow leaves a bad taste in the mouth, it’s still far but I want you to tell them.’ I will tell you the truth. He wants me to tell you that he wants to be president),” Duterte said, drawing cheers from the crowd.
It was, however, unclear whether he was serious when he made the remarks.
Go, who joined the event, was seen shaking his head in disapproval.
Duterte’s latest statement came despite Go’s insistence that he is not gunning for the presidency in 2022.
It also came amid calls for Go and Duterte to run for president and vice president, respectively.
Earlier Thursday, Presidential Spokesperson Harry Roque recalled Duterte’s previous statement that the Chief Executive has no plan to become the country’s next vice president next year.
Sal Panelo as ‘good senator someday’
Meanwhile, Duterte also hinted at the possibility that his top lawyer, Chief Presidential Legal Counsel, might seek a seat at the Senate in the 2022 national and local elections.
This was after Duterte alluded that Panelo could be a “good senator” in the future.
He also praised Panelo’s credentials, noting that the Palace official’s former clients include celebrities.
“Sal Panelo is the lawyer. Ito ‘yung abugado ng mga artista. Totoo, ‘yung mga iskandalo, nag-aaway. Kaniya iyang lahat. High profile itong si Sal (He is the lawyer of the stars. That’s true, he defended those involved in scandals. That’s him. Sal is high-profile). And maybe, he would make a good senator someday,” Duterte said.
Apart from Panelo, the President also lauded some of his Cabinet officials, including Transportation Secretary Arthur Tugade and Public Works Secretary Mark Villar.
A February 4 article published by the local news site firm Politiko said Duterte named nine of his Cabinet secretaries as the administration’s potential senatorial bets next year.
Duterte, Politiko reported, named Roque, Panelo, Tugade, Villar, Trade Secretary Ramon Lopez, Health Secretary Francisco Duque III, Cabinet Secretary Karlo Nograles, Labor Secretary Silvestre Bello III, and vaccine czar Carlito Galvez Jr. as his senatorial candidates. (PNA)",Philippines News Agency
1,https://www.pna.gov.ph/articles/1133183,"No jab simulation, no vax allocation: DOH-Bicol
By Connie Calipay and Mar Serrano March 11, 2021, 6:54 pm
Share",Connie Calipay and Mar Serrano,"March 11, 2021, 6:54 pm","MORE VACCINES FOR BICOL. The Bicol region received on March 10 a total of 22,000 doses of AztraZeneca vaccines intended for government hospital healthcare workers in various local government units that have already submitted the requirements based on the DOH deployment criteria. Bicol received 12,000 doses of Sinovac vaccines last March 4. (Photo courtesy of DOH-Bicol)
LEGAZPI CITY – The Department of Health (DOH) in Bicol urged the provincial health institutions and local government units (LGUs) in the region to conduct simulation exercises (SIMEX) for the vaccination procedure as a requirement for vaccine allocation.
This, after 22,000 doses in 2,200 vials of the AstraZeneca vaccine arrived here on Wednesday.
Dr. John Ferchito Avelino, DOH-Bicol assistant regional director, in a press conference said SIMEX must be conducted to ensure and assess the preparation of people, venue and facilities to be used when the actual vaccines arrive.
""LGUs and hospital must prepare facilities, vaccination workforce, referral facility for adverse effects, and list of eligible individuals to be vaccinated in the localities. DOH will also look into the venue lay-out, process and contingency plan just in case for adverse events like brownout, earthquake and other natural calamities,"" Avelino said.
He also reminded LGUs to coordinate with the DOH for the conduct of the SIMEX in their areas.
Based on DOH-Bicol data, four LGUs in Bicol have conducted SIMEX. These are the provincial governments of Sorsogon, Camarines Sur and Catanduanes and city government of Legazpi for Albay.
""Masbate will conduct (SIMEX) on March 12 and Camarines Norte will be on next Monday,"" Avelino said.
Meanwhile, Dr. Rita Ang-Bon, DOH-Bicol vaccination program coordinator, said the new batch of vaccines that arrived is intended for government hospital healthcare workers in various LGUs that have submitted the requirements based on the DOH deployment criteria.
Ang-Bon said the deployment protocols include availability of storage facility, and list of referral facilities and vaccine recipients including a pre-assessment study that determines who are willing to be vaccinated, health workers who wanted to be inoculated but are ineligible because they are senior citizens, and those who are suffering from comorbidities.
When asked about the deployment of the AstraZeneca vaccines, she said they could not yet determine the allocation per province as they are still waiting for the list from the Covid-19 referral hospitals across the region.
Noemi Bron, DOH public affairs chief, said the arrival of the vaccines contained in three cooler boxes was supervised by medical staff of the agency who immediately transferred the cargo to a waiting refrigerated cargo van at the airport tarmac.
A convoy of police and health workers transported the cargo to the DOH storage facility here for inventory and safekeeping.
The new delivery is part of the 487,200 doses of AstraZeneca that arrived last week in Manila from COVAX, the global vaccine pool recommended by the World Health Organization (WHO).
A vial of the AstraZeneca vaccine developed by the Oxford University can inoculate 10 people with an efficacy rate of 62-90 percent.
Bicol Region earlier received 12,000 doses of CoronaVac vaccines developed by Beijing-based Sinovac pharmaceutical firm.
The vaccination procedure using the medicines from China started on Wednesday in three government-run hospitals in Sorsogon province that received an initial 960 single-dose vials of Sinovac.
Bron said the initial allocation delivered to Sorsogon was intended for government health workers at the Sorsogon Provincial Hospital, Metro Health Specialist Inc., and Sorsogon Medical Mission Group Hospital and Health Services Cooperative.
The vaccine rollout was conducted after the three hospitals completed their vaccine simulation procedures. (PNA)
 ",Philippines News Agency
2,https://www.pna.gov.ph/articles/1133300,"More San Juan front-liners receive jabs
By Lade Jean Kabagani March 11, 2021, 5:29 pm
Share",Lade Jean Kabagani,"March 11, 2021, 5:29 pm","ASTRAZENECA SHOTS. Healthcare workers in San Juan City avail of AstraZeneca vaccines on Thursday (March 11, 2021). Other front-liners are being urged to sign up for the city’s vaccination campaign. (Screengrab from San Juan City-PIO Facebook live)
MANILA – More medical professionals and health care workers in San Juan City availed of AstraZeneca vaccine shots on Thursday.
When the city’s rollout began on Saturday, 141 personnel of the San Juan City Medical Center (SJMC) and 797 from Cardinal Santos Medical Center (CSMC) received their first shots of Sinovac's CoronaVac jabs.
On Thursday, 526 staff of CSMC, SJMC, and St. Martin de Porres Charity Hospital were vaccinated, bringing to 1,464 the city’s front-liners who have received either Sinovac or AstraZeneca vaccines.
More healthcare workers were urged to sign up for the vaccination campaign while residents were assured of free Covid-19 shots once they register.
The city is targeting at least 70 percent of its population to participate in the inoculation program.
City hall personnel were tasked to go house-to-house to assist priority sectors, such as the elderly, in signing up.
As of March 9, the city had 148 active Covid-19 cases. A total of 106 have died and 3,792 have recovered from the total 4,046 confirmed cases.
To contain the recent surge in infections, the local government re-imposed the 10 p.m. to 5 a.m. curfew, except for essential workers and those with emergency cases. (PNA)
 ",Philippines News Agency
3,https://www.pna.gov.ph/articles/1133279,"Guv willing to get P1-B loan to get vax for 2.2M Quezonians
By Belinda Otordoz March 11, 2021, 4:27 pm
Share",Belinda Otordoz,"March 11, 2021, 4:27 pm","CEREMONIAL VACCINATION. Quezon Governor Danilo Suarez (standing, right) witnesses the ceremonial vaccination against Covid-19 of Dr. Allen Logatoc, chief of the Quezon Medical Center's Infectious Diseases Department, in Lucena City on Thursday (March 11, 2021). The province received 1,790 doses of Sinovac vaccines on March 10. (Photo by Belinda Ortodoz)
LUCENA CITY – Quezon Governor Danilo Suarez on Thursday assured his constituents that he is prepared to secure a PHP1-billion loan for the purchase of vaccines against the coronavirus disease 2019 (Covid-19) to cover the province's 2.2-million population.
This was after Department of Health (DOH) 4-A (Calabarzon) Director Eduardo Janairo led the Covid-19 vaccine rollout in the province, held at the Quezon Medical Center (QMC) here.
Dr. Allen Logatoc, chief of QMC's Infectious Diseases Department, was the first recipient of the vaccine allocated for the province.
Suarez, who witnessed the inoculation, noted of the quick procedure and encouraged all medical health workers in the province to avail of the vaccine.
A total of 1,790 Sinovac vaccines arrived in this city from Manila on Wednesday, he said, expressing hope that the province would also be given AstraZeneca vaccines by the national government.
Meanwhile, Janairo said they project public vaccination to start either in May or June.
The ceremonial vaccination was also attended by Vice Governor Sam Nantes, provincial councilors Alona Obispo and Yna Liwanag, QMC's chief of hospital Dr. Rolando Padre, provincial Inter-Agency Task Force for the Management of Emerging Infectious Diseases vice chair Dr. Grace Santiago, and QMC administrator Ruel Napeñas, who was also among the first medical front-liners to be inoculated. (PNA)
  ",Philippines News Agency
4,https://www.pna.gov.ph/articles/1133269,"Over 9K AFP front-liners get Covid-19 jabs: Lorenzana
By Priam Nepomuceno March 11, 2021, 2:13 pm
Share",Priam Nepomuceno,"March 11, 2021, 2:13 pm","Defense Secretary Delfin Lorenzana (Screengrab from Laging Handa briefing)
MANILA – Over 9,000 medical personnel and other front-liners of the Armed Forces of the Philippines (AFP) have so far been vaccinated against the coronavirus disease 2019 (Covid-19).
""As of yesterday (Wednesday) ay 9,043 na yung nababakunahan at magbabakuna pa sila ng 25,000 (As of yesterday, 9,043 have been vaccinated and around 25,000 are still undergoing or registered for vaccination),"" Defense Secretary Delfin Lorenzana said in a Laging Handa briefing on Thursday.
Lorenzana also said the vaccines being used in inoculating AFP front-liners came from the 100,000 doses of Sinovac Biotech's CoronaVac jabs donated by the Chinese Ministry of Defense to the Department of National Defense (DND).
Of these, 30,000 were retained for the use of the DND and its attached agencies while the remaining 70,000 were given to the AFP, he added.
Lorenzana said vaccination of the agency's front-liners will continue until all the initial vaccine doses donated by China that arrived in the country last February 28 are expended.
He added that front-liners who used to be hesitant at first of the Chinese-made Covid-19 vaccines are now more willing to take the jabs due to the spike in the country's Covid-19 cases.
""Meron pang mga ayaw pero karamihan dun sa mga umaayaw nung una ay papayag na dahilan sa itong pag-spike na naman ng mga infection at medyo natakot siguro kaya pati na yung mga health workers na ayaw pa sana, naghihintay sila ng ibang bakuna pero nung mabalita na tumataas yung bilang ay nagpabakuna na rin sila (There are still those who are hesitant but due to the ongoing Covid-19 spike, many of these health care workers who are originally waiting for other vaccines brands, opted to have themselves vaccinated upon hearing of the rising Covid-19 cases),"" he added. (PNA)",Philippines News Agency
5,https://www.pna.gov.ph/articles/1133267,"Army troopers in C. Mindanao get anti-Covid jabs
By Edwin Fernandez March 11, 2021, 2:05 pm
Share",Edwin Fernandez,"March 11, 2021, 2:05 pm","IMMUNIZED. Major Gen. Juvymax Uy, the 6th Infantry Division commander, gets his first dose of Sinovac anti-Covid-19 vaccine on Wednesday afternoon (March 10, 2021) at Camp Siongco in Barangay Awang, Datu Odin Sinsuat, Maguindanao. The military officials’ vaccination signaled the start of immunization for the 6ID troopers stationed in Central Mindanao on Thursday (March 11, 2021). (Photo courtesy of 6ID)
CAMP SIONGCO, Maguindanao – Soldiers belonging to the Army’s 6th Infantry Division here started to line-up Thursday to get their first dose of anti-coronavirus disease 2019 (Covid-19) vaccines.
This, as Major Gen. Juvymax Uy, the 6ID commander, had himself vaccinated with Sinovac jab on Wednesday afternoon to show the men and women in uniform that the vaccine is safe.
Uy received his first dose of the Covid-19 vaccine at the Camp Siongco Station Hospital here as administered by physicians from the Maguindanao - Integrated Provincial Health Office (IPHO).
“As your commander, I lead in receiving the vaccine to show you that the vaccines are safe and will protect us against our unseen enemy – the Covid-19,” Uy said here Thursday.
He said all soldiers under the 6ID are included in the list of front-liners and must receive the immunization.
“It (vaccination) may be optional on the part of every trooper but there is the need to protect yourselves from the virus as you carry out your duties in serving the people and in addressing the current pandemic threat,” he said.
More so, Uy said the 6ID is supporting the information dissemination of all local government units within Central Mindanao in addressing the issues, concerns, and apprehension of the populace on the vaccination program.
""To our people, let us support the national government’s call to help put an end to the spread of the virus,” Uy said. (PNA)",Philippines News Agency
6,https://www.pna.gov.ph/articles/1133265,"More healthcare workers in Bacolod City want to get vaccinated
By Nanette Guadalquiver March 11, 2021, 1:47 pm
Share",Nanette Guadalquiver,"March 11, 2021, 1:47 pm","INOCULATED. Some of the workers of Corazon Locsin Montelibano Memorial Regional Hospital in Bacolod City got vaccinated with Sinovac’s CoronaVac against Covid-19 during Day 2 of the Vaccination Week on Wednesday (March 10, 2021). City Administrator Em Ang, executive director of the Emergency Operations Center, said five hospitals in the city have requested for additional vaccine supply. (Photo courtesy of CLMMRH Humans of Corazon by Horizon)
BACOLOD CITY – More healthcare workers in hospitals here have expressed willingness to be vaccinated against the coronavirus disease 2019 (Covid-19) after hundreds of medical front-liners, including doctors and nurses, have already received Sinovac’s CoronaVac since March 5.
As of Thursday, City Administrator Em Ang, executive director of the Emergency Operations Center (EOC), said five out of the seven hospitals here have requested additional vaccines.
“This is kind of good news. This means there is more vaccine acceptance. There is an increase in the interest and intent of our health workers in hospitals to get vaccinated. Perhaps they have seen the examples of those who were vaccinated in the past few days,” Ang said in a radio interview.
She added that the city government will request for additional allocation from the Department of Health to be distributed to the hospitals.
On March 5, some 6,300 vials of the Sinovac vaccine arrived for two Covid-19 referral hospitals in this city - the Corazon Locsin Montelibano Memorial Regional Hospital and Dr. Pablo O. Torre Memorial Hospital (Riverside Medical Center).
Both hospitals held their respective vaccination programs on Monday, and afterward started the inoculation of its medical and administrative front-liners.
Other hospitals such as Bacolod Adventist Medical Center, South Bacolod General Hospital, and Bacolod Queen of Mercy Hospital also kicked off the vaccination for its personnel.
“We want to send a strong message to the community that these doctors, who care for your good health, affirm that the vaccines are safe and we need to avail of them,” Dr. Chris Sorongon, EOC deputy for medical services, earlier said.
Dr. Hector Gayares, chief executive officer of Adventist International Healthcare System, said that healthcare workers should lead the vaccination program here.
Gayares, one of the five doctors who were inoculated during the first Sinovac rollout in the city on March 5, said that 48 hours post-vaccination, he is “doing perfectly fine” and remains healthy. (PNA)",Philippines News Agency
7,https://www.pna.gov.ph/articles/1133207,"Antique health workers feel safe after Sinovac inoculation
By Annabel Consuelo Petinglay March 11, 2021, 11:30 am
Share",Annabel Consuelo Petinglay,"March 11, 2021, 11:30 am","NURSE CADIAO. Governor Rhodora J. Cadiao, who is a registered nurse, administers the first dose of the Sinovac vaccine to Czerwin Juales, chief nurse of the Angel Salazar Memorial General Hospital in San Jose de Buenavista, Antique on Wednesday (March 10, 2021). The province was allotted 800 vials of the Sinovac vaccine. (PNA photo by Annabel Consuelo J. Petinglay)
SAN JOSE DE BUENAVISTA, Antique – The chief nurse of the Angel Salazar Memorial General Hospital (ASMGH) here on Wednesday said that he and other health workers now feel safe after being inoculated with the Sinovac vaccine which provides 100 percent protection from a severe case of the coronavirus disease 2019 (Covid-19).
“I feel safe as I attend to the health of the other people in the province,” ASMGH chief nurse Czerwin Juales said, who felt elated since he was the first to get vaccinated by no other than Governor Rhodora Cadiao.
“I am very fortunate that it was the governor who gave the first shot of vaccine to me,” he said.
Juales called on other health workers to have themselves vaccinated to be protected from Covid-19. “If you have a severe case of Covid-10, the Sinovac is very effective,” he added.
Cadiao, a registered nurse, led the Sinovac vaccine rollout in the province at the ASMGH.
She gave the vaccine to the first two health workers and also urged others to avail of the Sinovac vaccine for their protection.
“I appeal to the health workers to be brave and volunteer themselves for the vaccination,” Cadiao said.
Presley Racosalem, ASMGH operations support staff, said that she only felt a little pain during the injection. She was the second vaccinee to get the jab from ""Nurse Cadiao"".
She felt excited since the night before when she learned that she would be among the first health workers to receive the vaccine.
“This is for my protection and I thank the Department of Health for the vaccine,” she said.
Racosalem also invited all health workers to volunteer for vaccination because this is already their chance to avail of the free Covid-19 shot.
The 800 vials of Sinovac vaccines were picked up by a team led by Dr. Ric Noel Naciongayo, chief of the Integrated Provincial Health Office (IPHO), from the regional office of the Department of Health (DOH) early Wednesday morning.
He said that they target to finish the vaccination for health workers by March 13. (PNA)",Philippines News Agency
8,https://www.pna.gov.ph/articles/1133225,"Almost 500K displaced OFWs back in hometowns: OWWA
By Ferdinand Patinio March 11, 2021, 10:43 am
Share",Ferdinand Patinio,"March 11, 2021, 10:43 am","(File photo)
MANILA – The Overseas Workers Welfare Administration (OWWA) on Wednesday reported that almost 500,000 overseas Filipino workers (OFWs) who were displaced by the coronavirus disease 2019 (Covid-19) pandemic have been assisted by the government and are now in their home provinces.
“As of March 10, we have 470,000 OFWs. It is approaching the half a million mark of those that we have sent to their home regions by the OWWA and the Department of Labor and Employment (DOLE) and it is also an inter-agency effort,” OWWA administrator Hans Leo Cacdac said in a virtual forum.
Cacdac also said the government continues to provide assistance to returning OFWs which include free swab testing, food and accommodation, and transportation to their home regions.
“Upon orders of the President, swab testing or PCR (polymerase chain reaction) testing of arriving OFW is free, the quarantine hotel facility including food is also free and also the transportation to their home regions,” he added.
At the same time, Cacdac also reported that at present, there are some 10,000 OFWs that are in 150 hotel facilities, who are waiting for their scheduled transportation back to their provinces.
He said the government is spending PHP30,000 a day, based on the estimated maximum cost of hotel accommodation per night at PHP3,000.
“I will give you an estimate, the maximum cost per night in a hotel is around PHP3,000. It could be less depending on the classification of the hotel. If it’s five-star, maximum of PHP3,000 per night and then if lesser degree than five-star, less than PHP3,000, and then we have around 10,000 OFWs right now. So our projected daily cost is PHP3,000 times 10,000,” the OWWA head added.
Cacdac said the figure only covers the accommodation and does not include the food and transportation expenses.
“It does not include food and transportation. It’s only for hotel accommodations. Of course, included in the hotel accommodations, the food while they are there. There are other food costs, for example, if they have been transported to the airport they will be provided with food. If they will be brought to the bus terminal, they will be given food,” he added.
Cacdac, however, said they cannot give an estimate on how many more OFWs are expected to return to the country.
“It’s difficult to say since the situation right now is fluid because of the vaccine. That will depend on the extent and the efficacy of the vaccination program of countries worldwide, so I want to say 80,000 to 100,000 in the course of the year but I think that is dependent on how the vaccination program of the whole world. The computation for this year will change because of the vaccination phenomenon,"" he added.
The government started repatriating OFWs affected by the pandemic in May last year. (PNA)",Philippines News Agency
9,https://www.pna.gov.ph/articles/1133203,"Always wear face masks outside, Navotas dad tells constituents
By Lade Jean Kabagani March 10, 2021, 7:50 pm
Share",Lade Jean Kabagani,"March 10, 2021, 7:50 pm","WEAR A FACE MASK. Navotas Mayor Toby Tiangco orders the city's barangay officials to strictly implement Covid-19 protocols in a Facebook video message on Wednesday (March 10, 2021). He also reminded his constituents to always wear a face mask amid a surge in infections in the city. (Screenshot)
MANILA – Navotas Mayor Toby Tiangco reminded his constituents anew that wearing face masks at all times outside their home would help contain the community transmission of the coronavirus disease 2019 (Covid-19).
""Paglabas niyo ng bahay napakalakas po ng hawaan dyan so napakahalaga po na lagi po tayong nakasuot ng face mask (Covid-19 infection is very high when you go outside your homes, so it is very important to always wear a face mask),"" Tiangco said in a Facebook video message on Wednesday.
Department of the Interior and Local Government Officer-in-Charge Bernardo C. Florece Jr. earlier directed Joint Task Force Shield Commander, Lt. Gen. Cesar Hawthorne Binag, to increase police deployment and strictly enforce minimum public health standards in Navotas, Pasay, Malabon, Cebu City, and Cebu province, which have recently registered a spike in Covid-19 infections.
Tiangco said the city government has been receiving numerous complaints on the improper wearing of face masks and violation of curfew hours among minors in Navotas.
He ordered barangay officials to strictly implement Covid-19 protocols in their respective villages.
""Gusto po nating manatiling ligtas ang bawat mamamayan kaya hinihingi po namin ang inyong pakikiisa (We want to keep our residents safe from Covid-19, that's why we are appealing for your cooperation),"" Tiangco told his constituents.
He said residents should not disregard the prevailing threat of Covid-19.
The city government on Tuesday issued a memorandum order to implement a three-strike policy on flagging down violators of health protocols amid the pandemic.
The memorandum stated that the three-strike policy would be enforced in a barangay ""if the Task Force Disiplina or the Philippine National Police (PNP) is able to flag down more violators in a particular barangay than the barangay authorities themselves.”
“If this occurs three times, the undersigned (Tiangco) shall refer the gross neglect of duty on the part of the barangay to strictly implement existing ordinances of the City to the Sangguniang Panlungsod (City Council),” the order read.
Tiangco said the city government imposes granular lockdowns on villages that are at high risk of Covid-19.
""Ayaw na po natin na maghigpit ng buong siyudad ng Navotas ngunit kung mangyayari ay tataas po ang kaso ay magsasara po tayo ng barangay, magla-lockdown po tayo ng barangay (We don't want to restrict the whole Navotas City but if the Covid-19 cases continue to increase, we will impose a barangay lockdown),"" he said.
Tiangco said failure to strictly implement health measures could cause a spike in Covid-19 cases within communities.
Meanwhile, he said Navotas City has already received 320 doses of the AstraZeneca vaccine from the national government.
""Gagamitin ito para sa first and second doses ng ating mga (These will be used for the first and second doses of) medical front-liners. Kasalukuyan na po silang binabakunahan ngayon at hangad nating lahat sila ay mabigyan na ng proteksyon sa Covid-19 (They are being inoculated and we hope they would be given protection against Covid-19),"" Tiangco said.
The city has initially received some 200 doses of the China-made CoronaVac vaccines developed by Sinovac Biotech company.
Navotas City’s Covid-19 cases have increased by at least 8 percent. It has 496 active Covid-19 cases, 5,724 recoveries, and 200 deaths. (PNA)
 ",Philippines News Agency
