urls,titles,authors,published_dates,articles_content,news_org
https://news.abs-cbn.com/news/03/10/21/philippines-to-get-initial-shipment-of-pfizer-covid-19-shots-in-april-official,Philippines to get initial shipment of Pfizer COVID-19 shots in April: official,ABS-CBN News,Mar 10 2021 02:09 PM,"A health worker holds prepared syringes with doses of the ""Comirnaty"" Pfizer-BioNTech COVID-19 vaccine at Paris 3rd district city hall as part of the coronavirus disease (COVID-19) vaccination campaign in France, March 7, 2021. Christian Hartmann, Reuters
MANILA — The Philippines will get its first batch of COVID-19 shots from Pfizer-BioNTech next month, which would boost the country's inoculation drive, an official said on Wednesday.The lack of an inoculation deal had delayed the supposed arrival in mid-February of 117,000 Pfizer doses from COVID-19 vaccine-sharing COVAX Facility that the World Health Organization leads with other groups.“Nag-commit na po iyong WHO na darating po iyong 117,000 doses ng Pfizer ngayong Abril, sa susunod na buwan,” said Vince Dizon, deputy chief implementer of the National Task Force against COVID-19.
“Malaking bagay rin po ito, lalong-lalo na para sa ating health care workers na priority nating matapos hanggang buwan ng Abril at Mayo,” he said in a televised public briefing.
(The WHO has committed that the 117,000 doses of Pfizer will arrive this April, next month. This is a big deal, especially for our health care workers who are our priority [for vaccinations] from April to May.)The Philippines eyes finishing vaccinations of health care workers and senior citizens against COVID-19 by the middle of 2021, Dizon said.WHO optimistic COVAX vaccines can cover 20% of Philippine population this year
WHO: PH to be among biggest recipients of COVAX vaccines, 4.5M AstraZeneca doses coming
The Philippines has received 600,000 shots that China donated from Beijing-based drug maker Sinovac Biotech, and 525,600 doses of Britain's AstraZeneca vaccine through COVAX.
Authorities expect to get 1.4 million more Sinovac shots and another AstraZeneca batch from COVAX this March, he said.The Philippines aims to inoculate up to 70 million people or about two-thirds of its population against the novel coronavirus this year.Among the worst hit by the pandemic in Asia, the Philippines next week would mark the first year since government enforced quarantine restrictions that left businesses struggling and millions jobless.As millions go jobless, Palace says cash aid not an option for now
Philippines can't afford return to ECQ, Palace says as COVID-19 cases surge
",abscbn
https://news.abs-cbn.com/news/01/14/21/philippines-approves-pfizers-covid-19-vaccine-for-emergency-use,Philippines approves Pfizer's COVID-19 vaccine for emergency use,"Kristine Sabillo, ABS-CBN News",Jan 14 2021 11:48 AM,"Video courtesy of the Department of Health
MANILA — The Philippines has approved Pfizer’s COVID-19 vaccine for emergency use, the Food and Drug Administration announced Thursday, as the government aims to inoculate 100,000 to 200,000 Filipinos daily in a national vaccine rollout.
“After a thorough review of currently available data by medical and regulatory experts, the FDA today is granting emergency use authorization to Pfizer BioNTech COVID-19 vaccine,” FDA Director General Eric Domingo said during a virtual briefing.He said that “the benefit of using the vaccine outweighs the known and potential risks.”
The approval comes 3 weeks since the US-based company applied for emergency use authorization (EUA) in the Philippines.
An EUA means a vaccine approved by the countries where they were developed can be used locally after 21 days, down from the current required 6-month verification, Presidential Spokesperson Harry Roque earlier said.Philippines allows emergency use of COVID-19 vaccines, drugs
Pfizer’s vaccine is the only one that has been included in the World Health Organization’s emergency list. Among other vaccine frontrunners, it also has EUAs in the most number of countries.
An EUA allows Pfizer’s vaccine to be imported, distributed and administered in the Philippines through a national immunization program.
Domingo said the vaccine, based on interim data of Phase III trials, has an efficacy rate of 95%. The efficacy rate for all racial groups was at 92%.
SIDE EFFECTS
“The adverse events were transient and mostly mild to moderate, similar to common vaccine reactions among other vaccines that are in use now,” he added.
While there were no safety concerns, Domingo noted that “more adverse effects may be observed” based on close monitoring of those already immunized.
“The roll out of the vaccine and its use in more than 5 million people worldwide has identified also severe allergic reaction in a few individuals. Therefore the vaccination must be done by health professionals trained to recognize and manage such adverse reactions and they should have resources at hand to adequately respond and manage such cases,” the official said.
Unlike other vaccines, Pfizer and BioNTech is a messenger RNA (mRNA) vaccine, which utilizes newer technology. While it has a high efficacy rate, it requires ultra cold storage, making it difficult for poor countries to import and store it.
Domingo said the vaccine requires storage with temperatures of -80 to -60 degrees Celsius and can only be used for people who are 16 years and older.Vaccine czar Secretary Carlito Galvez said on Wednesday that Pfizer may be the first vaccine to enter the country through the help of the COVAX Facility, an international platform that aims for equitable access to COVID-19 vaccines. This means Pfizer may be the first vaccine to be used in the country, ahead of China’s vaccines from biopharmaceutical firm Sinovac.
RELATED VIDEO

Galvez earlier said that the Pfizer vaccine will most likely be used in Metro Manila and other areas near the vaccine hubs in Cebu and Davao because of its storage requirements.PROCUREMENT
Domingo reminded the public that the EUA is not a marketing authorization or a Certificate of Product Registration, which means the vaccine cannot be sold commercially. It cannot be sold by pharmaceutical stores or doctors.
Instead, “Pfizer Inc. (Philippines) shall supply Pfizer- BioNTech COVID-19 Vaccine only to emergency response stakeholders consistent with the terms and conditions of this EUA including Department of Health (DOH) or the National Task Force Against COVID-19 (NTF),” Domingo said.
He added that the DOH can also authorize public and private health facilities, local government units and other members of the private sector to procure the vaccine.
The EUA also requires Pfizer, if there is no agreement with the government, to provide appropriate cold storage requirements until the vaccine is delivered to the vaccination sites.
MONITORING
Domingo said the government will be monitoring adverse events after Pfizer is used for the national immunization program.“Submission of serious and non-serious adverse reaction reports is mandatory,” he said.
Recipients of the vaccine will also receive fact sheets with information on the vaccine and when they will receive the second dose. They will also be asked to sign a written informed consent before being vaccinated.
Currently, the FDA is also evaluating the EUA applications of AstraZeneca, Gamaleya Institute of Russia and Sinovac from China.
Domingo said the companies still have pending documents and will be evaluated within the 21-day period they have set for EUA processing.",abscbn
https://news.abs-cbn.com/news/03/09/21/covaxin-maker-can-allocate-at-least-10m-covid-19-vaccine-doses-for-ph-distributor,Covaxin maker can allocate at least 10M COVID-19 vaccine doses for PH - distributor,ABS-CBN News,Mar 09 2021 12:22 PM,"
MANILA - The manufacturer of COVID-19 vaccine Covaxin can allocate at least 10 million doses for the Philippines, an adviser to one of the local distributors said Tuesday.
India's Bharat Biotech and the state-run Indian Council of Medical Research developed Covaxin together, and it was approved by the country's drug regulator based on early and intermediate studies. Prime Minister Narendra Modi was inoculated with the drug earlier this month.
Modi takes home-grown vaccine as India widens immunization drive
Bharat Biotech reported last week that its vaccine has an interim vaccine efficacy of 81% in late-stage clinical trials. This analysis was based on the trial among 25,800 participants.
The company has applied for emergency use authorization in the Philippines last January.
India’s Bharat Biotech applies for emergency use authorization in PH for its COVID-19 vaccine
Noel Miranda, scientific adviser to local company IP Biotech, said they are ""working on 10 to 20 million doses that could be allocated for the Philippines alone throughout 2021 to 2022.""
IP Biotech and Ambica International have an exclusive agreement with Bharat Biotech to distribute the Covaxin in the Philippines.
""We have kind of an access to an allocation of about 10 to 20 million and we want them to start coming in as soon as April,"" Miranda told ANC's Headstart.
Pressed if the number would be for 5 or 10 individuals receiving the 2 doses necessary, he said it would be ""at least 10 million"" and affirmed that he was pertaining to doses.
Bharat's website said Covaxin ""is a 2-dose vaccination regimen given 28 days apart."" It does not require sub-zero storage and reconstitution. It is in ""ready to use liquid presentation in multi-dose vials, stable at 2-8 degrees Celsius.""
A single dose of Covaxin would cost around $14, said Miranda.
""It’s not going to be far from Sinovac, but this is something to be negotiated as well. We are doing our best to come out with a good negotiation,"" he said.
The Philippines is currently building its vaccine portfolio in the hopes to vaccinate at least 70 percent of its population to achieve herd immunity against COVID-19. The country's Food and Drug Administration has so far granted EUA to the vaccines made by Pfizer, AstraZeneca, and Sinovac.
The Department of Health reported 3,356 additional COVID-19 cases on Monday, bringing the total to 597,763. It was the fourth straight day that there were more than 3,000 new reported infections.
PH logs more than 3,000 add’l cases for 4th straight day; total nears 598,000
RELATED VIDEO
",abscbn
https://news.abs-cbn.com/news/01/14/21/philippines-books-17-million-covid-19-vaccine-doses-from-uks-astrazeneca,Philippines books 17 million COVID-19 vaccine doses so far from UK's AstraZeneca,Isay Reyes-Kang and Jamaine Punzalan ABS-CBN News,Jan 14 2021 01:55 PM,"A vial and syringe are seen in front of a displayed AstraZeneca logo in this illustration taken Jan. 11, 2021. Dado Ruvic, Reuters/File Photo
MANILA (2nd UPDATE) — The Philippines on Thursday signed a second purchase purchase agreement that raised to 17 million the COVID-19 vaccine doses it will get from British-Swedish drugmaker AstraZeneca, which the government plans to distribute in remote communities.
More than 300 companies and 39 local governments units (LGUs) across Luzon, Visayas, and Mindanao joined the endeavor.
""AstraZeneca maintains our sure commitment to give access with no profit,"" said Lotis Ramin, country president of AstraZeneca. ""Today, we are delighted to conclude 17 million doses which can reach millions of people.""
The Philippines' vaccine czar Carlito Galvez, Jr. thanked AstraZeneca for ""this partnership [that] will help us to save more than 8 million lives.""
Last November, the government and around 30 private firms signed a deal for 2.6 million AstraZeneca vaccine doses.
The new 17 million doses from the British-Swedish drugmaker are expected to be delivered mid-2021.
The 300 firms include the food, tourism, industrial, retail, and BPO sectors. Fifty percent of the procured vaccines will be donated to the government and 50 percent will be given to prioritized employees who serve as frontliners in their industries.
Some of the LGUs that took part of the signing were the cities of Makati, Caloocan, Mandaluyong, Manila, Muntinlupa, Navotas, Pasay, Pasig, Quezon City, San Juan, Valenzuela and Las Piñas for Metro Manila. For Luzon, the provinces and areas of Ilocos; Isabela; Nueva Ecija; Quirino; Baguio; Dagupan; San Nicolas, Pangasinan; Puerto Princesa City; Pulilan, Bulacan; Sta. Rosa, Laguna; Taal, Batangas; Vigan, Iloilo; Negros Occidental; Ormoc City and Palompon, Leyte; Bacolod City; Davao; Oroguieta; and Zamboanga City.
With nearly 495,000 coronavirus infections, the Philippines has the second highest caseload in Southeast Asia, next to Indonesia. The government aims to inoculate up to 70 million Filipinos this year.
The Philippines has secured 30 million COVID-19 doses from the Serum Institute of India, and 25 million jabs from China's Sinovac Biotech.
On Wednesday, the Philippine embassy in Washington announced that the country is also in the final stages of negotiations for the procurement of Moderna's COVID-19 vaccines,
According to Manila's envoy to the United States, Jose Manuel ""Babe"" Romualdez, the Philippines would be able to secure a ""minimum"" of 10 million vaccine doses from the firm, to be delivered by the middle of this year.
PH in 'final stages' of securing Moderna's COVID-19 vaccine, says envoy to US
The deal supposedly provides for an ""option to purchase an additional 10 million doses.""
Galvez, also the chief implementer of the National Task Force COVID-19, said last Monday that the Philippines is about to clinch around 100 million COVID-19 vaccine doses by next week, with one manufacturer delivering by February.
‘Fantastic moment’: Filipino nurse injects historic COVID-19 vaccine to British grandma
COVID-19 vaccines that do not require ultra-cold storage include those from Sinovac, Johnson & Johnson, AstraZeneca, and Novavax, said Galvez.
""Ito po ang puwede nating i-deploy sa far-flung areas dahil hindi po ito nangangailangan ng minus [zero] cold chain,"" Galvez said in a public briefing on Tuesday.
(This is what we can deploy to far-flung areas because it does not need negative cold chain.)
--With a report from Isay Reyes, ABS-CBN News
",abscbn
https://news.abs-cbn.com/news/01/26/21/philippines-eyes-10-million-covid-19-vaccine-doses-from-jj,Philippines eyes 10 million COVID-19 vaccine doses from J&J,"Jamaine Punzalan, ABS-CBN News",Jan 26 2021 05:57 PM,"Vials with a sticker reading, ""COVID-19 / Coronavirus vaccine / Injection only"" and a medical syringe are seen in front of a displayed Johnson & Johnson logo in this illustration taken Oct. 31, 2020. Dado Ruvic, Reuters/File
MANILA — The Philippines is negotiating for 10 million jabs against the novel coronavirus from Johnson & Johnson, an official leading the inoculation drive said on Tuesday, as the country raced to secure vaccine doses.
The J&J vaccine requires a single shot, making the logistics of its distribution ""uncomplicated,"" said Carlito Galvez, Jr., chief implementer of the National Task Force Against COVID-19.Washington may authorize the US-developed vaccine for emergency use in ""2 weeks or 3 weeks from now"", and supply may arrive in the Philippines in the third quarter of this year, said Galvez, who is also the Philippines' vaccine czar.
""Sumulat po ako sa management na taasan pa ang quota natin to 10 million,"" he said in a briefing.(I wrote to the management to increase our quota to million doses.)
The J&J vaccine is in late-stage trials as a single dose, in contrast to 2-shot vaccines from Pfizer Inc and Moderna Inc, which were also developed in the US.
The Philippines hopes to vaccinate up to 70 million people this year, starting February.
The country's first vaccine doses will likely come from Pfizer, UK's AstraZeneca, or Chinese firm Sinovac, Galvez said.So far, the Philippines has secured 30 million shots from the Serum Institute of India, 25 million from Sinovac, 20 million from Moderna, 17 million from AstraZeneca, and 40 million from the Covax Facility.
The Philippines' Food and Drug Administration has granted emergency use authority only for Pfizer's vaccine candidate, as of Tuesday.
",abscbn
https://news.abs-cbn.com/news/01/05/21/philippines-slow-covid-19-vaccine-procurement-embarrassing-disgusting-lacson,Philippines' slow COVID-19 vaccine procurement 'embarrassing',"Katrina Domingo, ABS-CBN News",Jan 05 2021 11:41 AM,"MANILA - Sen. Panfilo Lacson on Tuesday said the Philippines' slow procurement of COVID-19 vaccines is ""embarrassing"" as the country still continues to study which brand should be procured, while other nations have either begun mass inoculations or are awaiting delivery.
Other countries have already purchased COVID-19 vaccines while the Philippines has yet to place an actual order for the drug, Lacson said in an interview on TeleRadyo.
""Parang kahiya-hiya na 'yung gobyerno... Naka-ilang loans na ba tayo para sa vaccine? Bakit hanggang ngayon ay wala tayong vaccine?"" the senator said.
(The government looks embarrassing... How many loans have we gotten for the vaccine? Why don't we have the vaccines up to now?)
The Philippines' 2.5 million doses from AstraZeneca was made possible because the private sector helped fund the deal provided that their employees would get half of the procured shots, Lacson said.
PH gov't, private firms close to securing add'l 3.7-M doses of AstraZeneca COVID-19 vaccine

""Hindi ba disgusting na private sector pa ang nanguna para magkaroon tayo ng pangunahing vaccine na proven naman dahil ginagamit sa ibang bansa?"" he said.
(Isn't it disgusting that the private sector led this initiative to procure vaccines that are already proven effective in other countries?)
Months earlier, President Rodrigo Duterte had said the country was looking to a vaccine as the solution to the outbreak, amid criticism of government response.
With no vaccine yet available in the country, several of his guards have been inoculated with smuggled supply.Lorenzana says COVID-19 vaccine used by PSG 'smuggled'
Lacson noted that a purely government initiative for the procurement of COVID-19 vaccines has yet to take place, noting that the Food and Drug Administration has yet to issue a certification to legalize the use of any COVID-19 vaccine in the country.
""Mamamatay tayo sa kaka-study,"" said the senator, who has never confirmed reports he had already taken a shot against COVID-19.(We are going to die just doing studies.)
Private firms to buy 2nd batch of vaccines from AstraZeneca: presidential adviser
'Hindi ko naman inaamin': Lacson plays coy on taking COVID-19 vaccine
Several local government units have already allotted funds for the procurement of vaccines for their constituents but have yet to finalize the deals as the national government has yet to announce the country's masterplan for the inoculation against the global pandemic.
""'Yung New Zealand nga may announcement yung Prime Minister na, 'Sobra 'yung aming naprocure, do-donate na lang namin sa neighboring countries na nangangailangan.' Habang tayo nakakalungkot na hanggang ngayon naguusap pa tayo kung ano 'yung vaccine na ia-approve,"" he said.
(New Zealand's Prime Minister has already announced that they have procured too many vaccines and would donate some of it to neighboring countries, while we in the Philippines are still sadly discussing which vaccine to approve.)
Lacson earlier blamed Health Secretary Francisco Duque III for the allegedly botched COVID-19 vaccine deal with US pharmaceutical giant Pfizer after the latter's supposed failure to submit documentary requirements on time.
The Pfizer vaccines meant for the Philippines instead went to Singapore, making the city state the first Southeast Asian nation to receive COVID-19 vaccines.
Lacson says Duque 'dropped the ball' in vaccine deal with Pfizer
The Senate is expected to summon health officials to a hearing next week to know more about the national government's plan for the procurement, distribution and storage of COVID-19 vaccines.",abscbn
https://news.abs-cbn.com/news/01/27/21/philippines-to-get-about-1-million-doses-of-covid-19-vaccine-in-february-official,Philippines to get about 1 million doses of COVID-19 vaccine in February: official,"Jamaine Punzalan, ABS-CBN News",Jan 27 2021 01:48 PM,"A medical worker receives AstraZeneca's COVISHIELD coronavirus disease (COVID-19) vaccine in Yangon, Myanmar, after the country received 1.5 million doses of the vaccine manufactured by the Serum Institute of India, Jan. 27, 2021. Shwe Paw Mya Tin, Reuters
MANILA — The Philippines will gets its first batch of around 1 million COVID-19 vaccine shots next month, an official leading the country's inoculation drive said on Wednesday.
Vaccine czar Carlito Galvez, Jr. said he was negotiating with pharmaceutical firms to get 200,000 to 500,000 doses from UK's AstraZeneca for health workers, 500,000 jabs from Chinese firm Sinovac, and an unspecified number of shots from US-based Pfizer.
“More or less, ang ano po natin, magkakaroon po tayo ng (we will have an) early rollout this February. More or less, more than 1 million doses,” Galvez said in a briefing.
Several other countries, including immediate neighbors of the Philippines, have already started their respective vaccination programs.
Singapore begins rollout of Pfizer's COVID-19 vaccine with healthcare workers
Indonesia launches vaccination drive as COVID-19 deaths hit record
British grandma 1st in world to get Pfizer COVID-19 vaccine outside trial
The Philippine government aims to vaccinate up 70 million people against the new coronavirus this year to achieve herd immunity.
It is working to lock in 148 million doses from 7 vaccine makers, on top of 40 million shots that will come from the Covax Facility, a global initiative that aims to ensure equitable access to the vaccines, said Galvez.“We hope to seal deals within this month or early February,” he said.
The government has yet to disclose the exact prices of the jabs. Authorities will bare the full details of the deals ""in due time,"" Galvez said.“We guarantee that there will be an utmost transparency and accountability in all our negotiations,” he added.The Philippines has logged 516,166 confirmed COVID-19 cases, as of Tuesday, including 30,357 active infections, 10,386 deaths, and 475,423 recoveries.
COVID-19 cases in PH top 516,000; add’l deaths higher than recoveries for 2nd straight day
The cases include 17 that were found to be of the new, more transmissible variant first detected late last year in the United Kingdom.
RELATED VIDEO
",abscbn
https://news.abs-cbn.com/news/03/01/21/philippines-to-buy-161-million-covid-19-vaccine-doses-by-yearend-galvez,Philippines to buy 161 million COVID-19 vaccine doses by yearend: Galvez,"John Gabriel Agcaoili, ABS-CBN News",Mar 01 2021 10:39 PM,"National Task Force against Coronavirus Disease-2019 (NTF COVID-19) chief implementer Carlito Galvez Jr. gives updates to President Rodrigo Duterte during a meeting with the Inter-Agency Task Force on the Emerging Infectious Diseases (IATF-EID) core members at the Arcadia Active Lifestyle Center in Matina, Davao City on February 15, 2021. Joey Dalumpines, Presidential Photo/File
MANILA - The Philippines will receive at least 161 million doses of COVID-19 vaccine doses by yearend, a government official said Monday, hours after the country began its immunization program against the deadly disease.
National COVID-19 task force chief implementer Carlito Galvez Jr., in a public briefing, said that of the 161 million, 44 million will be procured from the COVAX Facility, an initiative which aims for equitable access to COVID-19 vaccines for all.
This is 13 million more than the previous proposal to procure 148 million doses of COVID-19 vaccines from 7 pharmaceutical companies.
Philippines to spend P82.5B to buy 148 million COVID-19 vaccine doses
The Philippines will have more or less 20 million doses of COVID-19 shots by the second quarter of 2021, according to Galvez.
""Sa third quarter po, diyan po lalabas lahat ng ating mga vaccines na ating bibilhin ... sa third quarter, meron po tayong 68 million. At doon po sa fourth quarter, meron po tayong 69 (million). All in all … meron po tayong 161 million doses,"" he said.
(In the third quarter, the vaccines which we'll buy will be available … we'll have 68 million additional doses in the third quarter. In the fourth quarter, we'll have 69 million. All in all … we'll have 161 million doses.)
The Philippines began its COVID-19 vaccine rollout on Monday, inoculating over 700 health workers the day after the country received its first supply of vaccines, courtesy of China's donation of 600,000 doses from Beijing-based drugmaker Sinovac Biotech.Over 700 vaccinated on Day 1 of COVID-19 vaccine rollout in Philippines - officials
Philippines receives first official supply of COVID-19 vaccines
Galvez said COVID-19 vaccines will be delivered to Cebu on March 3, and to Davao on March 4. According to the official, Metro Manila is still the top priority of the country's immunization program among regions due to its large number of COVID-19 cases.
The national government aims to immunize 70 million of its 108 million people this year to achieve herd immunity and further re-open an economy, which saw its worst contraction on record last year due to the pandemic.
Galvez Jr. earlier said the government is eyeing to vaccinate 1.7 million health workers this March. Officials are expecting 1 million more doses this month after securing 25 million doses from Sinovac.
PH, Sinovac eye delivery of 1 million vaccine doses this month: exec
As of Monday, the Philippines has logged 578,381 coronavirus cases, with 12,322 deaths and 534,351 recoveries. Active cases stood to 31,708.
RELATED VIDEO
",abscbn
https://news.abs-cbn.com/news/02/24/21/sinovac-says-to-deliver-covid-19-vaccine-to-philippines-very-soon,Sinovac says to deliver COVID-19 vaccine to Philippines 'very soon',ABS-CBN News,Feb 24 2021 06:54 PM,"Vials of the Sinovac coronavirus disease (COVID-19) vaccine are pictured at Bangkok's Suvarnabhumi International Airport in Bangkok, Thailand Feb. 24, 2021. Athit Perawongmetha, ReutersMANILA — China-based pharmaceutical firm Sinovac Biotech said on Wednesday it would deliver COVID-19 shots to the Philippines ""very soon"", after its product was granted emergency use authorization (EUA) in the Southeast Asian nation.
The vaccine maker is working ""very closely"" with the Chinese customs bureau to clear the shipment of 600,000 doses Beijing is donating to Manila, said Sinovac general manager Helen Yang.
""We are working very hard with our Philippines counterpart to prepare for the delivery. The product has already been prepared, so, we just need to finalize the procedures with the Custom and then we can fix the date of the flight,"" she said in a Malacañang press briefing.
""We will try our best to see whether we can deliver the products in this week or next week. It will be very soon,"" she added.
Palace hopes for Sinovac COVID-19 vaccine arrival this week after EUA approval
The arrival of the vaccine was ""etched in stone"" to happen on Tuesday, Feb. 23, Presidential spokesman Harry Roque earlier said. But it was delayed because, according to him, China wanted the Philippines to grant it first an EUA, which it got only on Feb. 22.Philippine authorities are assessing which of the priority sectors in the country's vaccination program will receive the 500,000 doses of Sinovac's vaccine, after the country's Food and Drug Administration noted that the product yielded a low efficacy rate of 50.4% when used on health care workers exposed to COVID-19 during its trial.
Sinovac's COVID-19 vaccine not recommended for health workers - FDA
PH assessing initial recipients of Sinovac’s COVID-19 vaccine
Health workers top the priority recipients of COVID-19 vaccines in the country, followed by senior citizens, those with comorbidities, and then, essential workers in the public and private sectors and the uniformed personnel.
LIST: Sub-groups in COVID-19 vaccination priority
The other 100,000 doses, meanwhile, are specifically allotted to the Department of National Defense.
Along with Sinovac, the Philippine drug regulator has cleared the COVID-19 shots of US-based Pfizer and the United Kingdom's AstraZeneca.Despite having one of highest number of COVID-19 cases and deaths in Asia, the Philippines has not yet received any vaccine with which it hopes to inoculate up to 70 million people or two-thirds of the population this year.Tracking COVID-19 cases in the Philippines
The lack of an indemnity deal, which settles the question of who should pay in case of adverse effects from the vaccine, had delayed the arrival of 117,000 doses of the Pfizer vaccine under the COVAX Facility, initially expected in mid-February.""Ang huling nakalap ko po ay mayroon na lang kaunti pang pinababago doon sa indemnity agreement,"" said Roque.""Pero sa akin nga po, as far as the President is concerned, tuloy na po ang pagbabakuna using Sinovac.""
(The last information I received is that there is just a bit that should be changed in the indemnity agreement. But as far as the President is concerned, the vaccination will start using Sinovac.)
Palace says VP Robredo 'welcome to join' first recipients of Sinovac jabs
Palace: Duterte puzzled why FDA does not recommend Sinovac for health workers",abscbn
https://news.abs-cbn.com/news/01/19/21/philippinesmodernacovid19-vaccinedoses,Philippines to get 20 million doses of Moderna's COVID-19 vaccine - Roque,"Jamaine Punzalan, ABS-CBN News",Jan 19 2021 12:46 PM,"A medical worker receives the Moderna coronavirus disease (COVID-19) vaccine at CHU Tivoli hospital in La Louviere, Belgium, Jan. 18, 2021. Yves Herman, Reuters
MANILA (UPDATE2) — Malacañang confirmed on Tuesday that the Philippines will get 20 million doses of Moderna's COVID-19 vaccine, as the country pursues procurement deals with various drug firms.
Authorities have signed a term sheet for the Moderna jabs, said Presidential Spokesperson Harry Roque.
The private sector and local governments will help pay for the shots because Moderna's vaccine is among the ""most sought"" after and priciest, said Secretary Carlito Galvez, chief implementer of the National Task Force Against COVID-19.""Magbibigay [po ang Moderna] ng ilang vaccine sa May,"" he told reporters in an online briefing, but did not say how many doses.
(Moderna will send some vaccine doses in May.)

In a forum organized by the Union of Local Authorities of the Philippines, Galvez told government officials that a shot of Moderna would cost around $20 to $25.
The Philippine embassy in Washington announced last week that Manila is in the final stages of negotiations for the procurement of Moderna's COVID-19 vaccine.
According to Ambassador Jose Manuel Romualdez, the Philippines would be able to secure a ""minimum"" of 10 million vaccine doses from the firm, to be delivered by the middle of this year.
The agreement allows the ""option to purchase an additional 10 million doses,"" he said.PH in 'final stages' of securing Moderna's COVID-19 vaccine, says envoy to US
Roque said the Philippines has term sheets as well with 3 other COVID-19 vaccine makers namely, Novavax, AstraZeneca from the UK, and China's Sinovac.
The government aims to begin immunization next month, hoping to inoculate 70 million people, or two-thirds of its population, this year.
Moderna and Pfizer-BioNTech's COVID-19 shots are authorized for use in Europe and the United States.
According to a Reuters report, the two aren not well-suited to lower-income countries due to expensive storage requirements.
Pfizer’s, which has already secured an EUA from the Philippines' Food and Drug Administration, has to be stored at -70°C, requiring costly equipment and infrastructure, and is expensive at roughly US$20 a dose.
Moderna’s, however, can be kept in a standard refrigerator for up to 30 days, but is even more expensive. The FDA has yet to receive Moderna's application for EUA in the Philippines.
Low- and middle-income countries have consequently struck few direct deals to buy these vaccines.
Currently, the FDA is assessing the EUA applications of AstraZeneca, Gamaleya Institute of Russia, and Sinovac.
- With a report from Reuters and Kristine Sabillo, ABS-CBN News
RELATED VIDEOS

",abscbn
