urls,titles,authors,published_dates,articles_content,news_org
https://www.gmanetwork.com/news/news/nation/779047/philippines-indian-firm-in-talks-for-at-least-8m-covid-19-vaccine-doses/story/,"Philippines, Indian firm in talks for at least 8M COVID-19 vaccine doses",JULIA MARI ORNEDO,2021-03-10 10:32:00,"The Philippines and Indian firm Bharat Biotech are in talks for a supply of at least 8 million coronavirus vaccine doses, Indian Ambassador to the Philippines Shambhu Kumaran said Wednesday.

Kumaran said discussions are ongoing as Bharat Biotech awaits emergency use authorization (EUA) for Covaxin, its COVID-19 vaccine, from the Philippine Food and Drug Administration (FDA).

“There are ongoing conversations for a supply for Covaxin which can range anywhere from 8 million doses upwards. I don’t think we are in a position to be signing anything yet,” he said in an ANC interview.

Kumaran clarified that formal negotiations have not yet begun as Bharat Biotech only submitted its Phase 3 clinical trial data to the FDA on Tuesday.

“The company has had one or two presentations with the FDA, but the commercial negotiations, which involve signing of a term sheet and then eventually moving to a contract, those are still pending,” he said.

“Once we close the contract, the nature of the vaccine requires at least 45 days for the production to be completed. We could look at 8 to 20 million over the next year and a half, but how much of that will come early is actually the big question,” he added.

Bharat Biotech filed an application for EUA on January 21.

Covaxin showed 81% efficacy in preventing symptomatic COVID-19.

The FDA has so far granted EUA to the COVID-19 vaccines developed by Pfizer-BioNTech, AstraZeneca, and Sinovac.—AOL, GMA News
OTHER STORIES
Hontiveros bucks possible redeployment of police, military to enforce health protocols
Parañaque extends curfew amid cases of South Africa variant
PNP appeals vs. public display of affection amid surge in COVID-19 cases",GMA News
https://www.gmanetwork.com/news/news/nation/777786/pgh-director-is-first-to-get-covid-19-vaccine-in-philippines/story/,Philippines administers first official COVID-19 vaccine jab,JULIA MARI ORNEDO,2021-03-01 09:46:00,"University of the Philippines-Philippine General Hospital (UP-PGH) director Dr. Gerardo Legaspi on Monday became the Philippines' first official recipient of a vaccine against COVID-19.
Legaspi received a shot of CoronaVac, manufactured by Chinese firm Sinovac Biotech, during a symbolic vaccination ceremony at the UP-PGH grounds attended by top government officials.
The vaccine was administered by Nurse Chareluck Santos.
“Si Dr. Legaspi ang nanguna sa atin sa laban na ito kaya karapat-dapat lang na siya ang unang tumanggap ng ating bakuna,” PGH spokesperson Dr. Jonas Del Rosario said.
“Kayong dalawa ay nasa kasaysayan na ng COVID-19,” he added, referring to Legaspi and Santos.
OTHER STORIES
PRC ready to assist gov't in COVID-19 vaccination, Gordon says
AFP starts inoculation of personnel using Sinovac vaccines
Legal team studying if Duterte can get Sinopharm vaccine under compassionate use —Palace
Vaccine czar Carlito Galvez Jr. also received a shot of Sinovac's vaccine at the PGH.
The ceremony -- one among several symbolic vaccinations scheduled within the day -- was held in a bid to boost public confidence in the vaccination program in light of polls showing low trust in vaccines.  
Several government officials, including Food and Drug Administration (FDA) chief Eric Domingo and testing czar Secretary Vince Dizon also received the Sinovac shot. Dizon received his at Tala Hospital (Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium) in Caloocan City.
Under the vaccination priority list, frontline workers in health facilities should be the first to get inoculated. 
The “symbolic” vaccination followed the arrival of 600,000 Sinovac doses on Sunday afternoon. 
The first batch of vaccines will be rolled out to several hospitals in Metro Manila also on Monday, marking a turning point in the country’s battle against COVID-19.
Aside from PGH, the priority hospitals for vaccination are the Lung Center of the Philippines, Veterans Memorial Medical Center, Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium (Tala Hospital), PNP General Hospital, Pasig City General Hospital, and the V. Luna Medical Center.
Only 180 of the 1,165 surveyed at the Tala Hospital expressed interest in the Sinovac vaccine. The hospital chief said a contingency plan is in place to avoid wastage. 
The Department of Health has assured health workers that the vaccine is “safe” and “beneficial” for them as it can reduce morbidity and mortality linked to COVID-19. 
Citing data from the Sinovac’s dossier, an epidemiologist also said the Chinese vaccine showed 100% efficacy against severe COVID-19. 
The government aims to secure 148 million doses to vaccinate 70 million Filipinos this year. 
Only the vaccines developed by Pfizer-BioNTech, AstraZeneca, and Sinovac have been approved for emergency use by the FDA.
The Philippines has recorded 576,352 infections with 534,271 recoveries and 12,318 deaths as of Sunday afternoon. — KBK/RSJ, GMA News
 ",GMA News
https://www.gmanetwork.com/news/news/content/779173/unicef-chief-1b-more-needed-for-covax-covid-19-vaccine-rollout/story/,UNICEF chief: $1B more needed for COVAX COVID-19 vaccine rollout,GMA News,2021-03-10 22:03:00,"DUBAI - The United Nations' children's fund on Wednesday urged countries to contribute more money to help poor countries access coronavirus vaccines, saying around $1 billion was needed.
UNICEF, the world's single largest vaccine buyer, is part of the World Health Organization-backed COVAX program to supply COVID-19 shots to emerging economies.
""We have been asking the world for more funding... for UNICEF and our distribution to countries we still need about $1 billion,"" UNICEF Executive Director Henrietta Fore said at Dubai's World Government Summit, held virtually this year.
That funding could be used strengthen health systems in poorer nations and support the distribution of vaccines there, she said.
The COVAX initiative aims to deliver at least 2 billion COVID-19 vaccine doses this year, including 1.3 billion doses to lower income countries.
OTHER STORIES
5 more Pinoys abroad sick with COVID-19 —DFA
Don't waste the hope of vaccines, warns WHO
World is missing chance for green recovery from COVID-19, UN says
Fore urged vaccine makers to sign licensing agreements so vaccines could be made locally, singling out Africa as one market that needed it.
She also said it was unlikely the COVAX scheme would be able to cover the world this year.
""There is still more to do and we could do with more help and assistance."" -Reuters",GMA News
https://www.gmanetwork.com/news/news/nation/778025/sinovac-covid-19-vaccine-might-have-better-efficacy-in-philippines-expert/story/,Sinovac COVID-19 vaccine might have better efficacy in Philippines —expert,JULIA MARI ORNEDO,2021-03-02 16:48:00,"The coronavirus vaccine developed by Chinese firm Sinovac Biotech could possibly have better efficacy in the Philippines where the daily attack rate of COVID-19 is lower than in Brazil, the site of the clinical trials, an infectious diseases expert said Tuesday.
Dr. Rontgene Solante noted that the Sinovac shot yielded 50.4% efficacy among health workers attending to COVID-19 patients in Brazil, where cases are higher.
“If you are here in the Philippines, in which the attack rate is not as high as that during the trial conducted in Brazil, then it might have a better efficacy here in the Philippines,” he said at a briefing.
Solante also said that immunogenicity, a foreign substance’s ability to provoke an immune response, increased slightly when the interval between the first and second dose was lengthened from 14 days to four weeks.
“So I am banking on that, with this vaccine, since this will be rolled out in the Philippines, we may have a better protection compared to doon sa nakikita natin sa Brazilian study,” he said.
OTHER STORIES
Roque won't get Sinovac jab for now
Sinovac vaccine already undergoing HTAC review —Duque
Marikina, Taguig start vaccinating health workers vs. COVID-19
The expert urged health workers to get the Sinovac jab, stressing that it can offer them protection in the workplace.
“The other benefit of getting the vaccine, especially [for] the healthcare workers, is also preventing the moderate to severe infection and I think that’s the better part of getting this vaccine, because not getting hospitalized and at the same time still being able to work is really important,” he said.
The Philippines began its COVID-19 vaccination program on Monday with the rollout of 600,000 Sinovac doses donated by the Chinese government.
The Department of Health said 756 people, mostly health workers, got vaccinated on the first day. -MDM, GMA News",GMA News
https://www.gmanetwork.com/news/news/nation/778783/covid-19-vaccine-rollout-not-a-reason-to-be-complacent-velasco/story/,COVID-19 vaccine rollout not a reason to be complacent –Velasco,ANNA FELICIA BAJO,2021-03-08 16:04:00,"House Speaker Lord Allan Velasco on Monday said the arrival of COVID-19 vaccines in the country should not be a reason for the public to be complacent amid the pandemic.
Velasco reminded the public to remain vigilant as there has been a spike in the number of COVID-19 cases. He called on the public to continue observing the minimum health protocols against the disease.
""While we understand that more businesses are reopening and people want to resume normal activities, we have to maintain our health protocols until the COVID-19 threat is effectively addressed by our vaccination program,” Velasco said.
“Now is not the time to let our guard down. We have to wait until such time a greater number of Filipinos are vaccinated and herd immunity has been achieved,"" he said.
The Philippines started its vaccine rollout following the arrivals of Sinovac and AstraZeneca vaccines. Health frontliners are being prioritized in the government's inoculation program.
OTHER STORIES
Health worker families not a priority in initial vaccine rollout –DOH
Seminars improve confidence in COVID-19 vaccines –DILG
Robredo urges vigilance as COVID-19 cases continue to rise
On Sunday, the Philippines recorded 594,412 COVID-19 cases after the Department of Health tallied 3,276 new infections. It was the third day that new cases reached more than 3,000.
According to the DOH, lapses in compliance with health and safety protocols have contributed to the recent increase in infections.
The DOH also said there was still no evidence of community transmission of the United Kingdom and South Africa variants in the country. — DVM, GMA News",GMA News
https://www.gmanetwork.com/news/news/nation/777213/palace-duterte-prefers-sinopharm-covid-19-vaccine/story/,Palace: Duterte prefers Sinopharm COVID-19 vaccine,LLANESCA T. PANTI,2021-02-24 14:26:00,"President Rodrigo Duterte prefers to take a Sinopharm COVID-19 vaccine, presidential spokesperson Harry Roque said on Wednesday. 
Roque was responding to the claim of the Philippines’ special envoy to China Mon Tulfo that the President wants to get a Sinopharm vaccine but was advised against it by government officials, including vaccine czar Carlito Galvez, Jr.
“Gusto po talaga niya Sinopharm,” Roque said during the Palace briefing.
“Eh kaso nga, wala pa pong EUA, kaya ayaw noong mga doktor, mga eksperto,” he added.
EUA is emergency use authorization issued by the Food and Drug Administration (FDA) which is needed for a vaccine to be legally administered in the country. 
OTHER STORIES
After Tulfo's admission, House probe into VIP vaccination should start —lawmakers
Roque: Robredo welcome to take Sinovac COVID-19 vaccine
Duterte to lead ceremony welcoming donated Sinovac vaccines from China —Palace
Having an EUA means the FDA is guaranteeing that such COVID-19 vaccine is safe and effective.
FDA Director General Eric Domingo also said on Wednesday that Sinopharm, a Chinese COVID-19 vaccine, has yet to apply for an EUA. 
“Wala pa pong application sa 'min,” Domingo said during the Laging Handa briefing. 
“Hindi po namin hinaharang [ang application ng Sinopharm for EUA],” he added.
The FDA however approved the compassionate use of the Sinopharm COVID-19 vaccine for the benefit of Presidential Security Group (PSG) members, the Palace said last week. It was Duterte who first revealed in December 2020 that members of the military and the PSG already got vaccinated with the Sinopharm COVID-19 vaccine even if the FDA had yet to issue either an EUA or a permit for compassionate use for this vaccine at that time. PSG commander Brigadier General Jesus Durante III confirmed the President’s statement, even saying that they inoculated themselves with the unregistered Sinopharm vaccine.
Roque, however, did not categorically deny Tulfo’s claim that the President had talked to a Sinopharm representative identified as John Boja because the Chief Executive wants to secure their vaccine.
“I am not belying Mon Tulfo. That is his article (The Manila Times column),” Roque said.
“Ask him, not me,” Roque added.
World Health Organization Philippine country representative Dr. Rabindra Abeyasinghe on Tuesday said China’s Sinopharm vaccine is still undergoing evaluation. —KG, GMA News",GMA News
https://www.gmanetwork.com/news/scitech/science/778873/pfizer-biontech-covid-19-vaccine-neutralizes-brazil-variant-in-lab-study/story/,Pfizer/BioNTech COVID-19 vaccine neutralizes Brazil variant in lab study,MICHAEL ERMAN Reuters,2021-03-09 06:30:00,"NEW YORK - The COVID-19 vaccine from Pfizer Inc and BioNTech SE was able to neutralize a new variant of the coronavirus spreading rapidly in Brazil, according to a laboratory study published in the New England Journal of Medicine on Monday.
Blood taken from people who had been given the vaccine neutralized an engineered version of the virus that contained the same mutations carried on the spike portion of the highly contagious P.1 variant first identified in Brazil, the study conducted by scientists from the companies and the University of Texas Medical Branch found.
The scientists said the neutralizing ability was roughly equivalent the vaccine's effect on a previous less contagious version of the virus from last year.
The spike, used by the virus to enter human cells, is the primary target of many COVID-19 vaccines.
In previously published studies, Pfizer had found that its vaccine neutralized other more contagious variants first identified in the United Kingdom and South Africa, although the South African variant may reduce protective antibodies elicited by the vaccine.
OTHER STORIES
Immune memory boosts COVID-19 survivors' vaccine response
Vaccine response may be weaker in elderly; Merck drug shows promise in reducing virus level
Greece mourns youngest COVID victim, 37-day baby
Pfizer has said it believes its current vaccine is highly likely to still protect against the South African variant. However, the drugmaker is planning to test a third booster dose of their vaccine as well as a version retooled specifically to combat the variant in order to better understand the immune response. -- Reuters",GMA News
https://www.gmanetwork.com/news/news/nation/777054/who-still-evaluating-sinovac-s-covid-19-vaccine-says-official/story/,"WHO still evaluating Sinovac’s COVID-19 vaccine, says official",JULIA MARI ORNEDO,2021-02-23 13:20:00,"The World Health Organization (WHO) cannot comment yet on the efficacy of the coronavirus vaccine developed by Chinese firm Sinovac as its evaluation is still ongoing, Philippine country representative Dr. Rabindra Abeyasinghe said Tuesday.
“We are not privy to all the information being shared by the manufacturers with our regulations team for the evaluation of the vaccine, and so we cannot comment at this point of time on reported efficacies which have been basically taken out of media articles,” Abeyasinghe said during a virtual briefing.
The Philippine Food and Drug Administration (FDA) on Monday approved the Sinovac vaccine for emergency use but stressed that it is not recommended for health workers due to its lower efficacy rate of 50.4% in the said group.
The vaccine’s efficacy rate among healthy individuals aged 18 to 59, meanwhile, ranges from 65.3% to 91%.
“Our understanding is that there may have been some information that was shared with the FDA in the Philippines that made it necessary for the Philippines’ FDA to decide on this limited use of vaccines in the 18 to 59 year age group,” Abeyasinghe said.
OTHER STORIES
EUA issued to Sinovac 'half-baked,' solon says
Two health experts urge public to consider getting Sinovac COVID-19 vaccine
Philippines receives side letter from Pfizer; WHO sees resolution of ‘impasse’ soon
Malacañang has said that health workers and the elderly will not be the first to get inoculated against COVID-19, despite them being the top priorities in the government’s vaccination list, due to Sinovac’s lower efficacy rates for both groups.
Abeyasinghe said the WHO will leave it to the Philippines to recalibrate its vaccination program.
“In the absence of clear information that WHO can access, we would leave it to the Philippines’ FDA and the Philippine government to prioritize… until the WHO emergency use listing is complete and we have clear evidence of what its efficacy is in different age groups where we can have a clear position,” he said.
“We believe that using vaccines with higher efficacy to protect the most at-risk, who will be naturally more exposed to COVID-19 infections, will be a better solution especially if that process can be accomplished without too much delay,” he added.
Abeyasinghe said China’s Sinopharm vaccine is also still undergoing evaluation by the WHO.—AOL, GMA News
 ",GMA News
https://www.gmanetwork.com/news/news/nation/777872/sinovac-exec-says-1m-covid-19-vaccine-doses-may-arrive-in-march/story/,Sinovac exec says 1M COVID-19 vaccine doses may arrive in March,MA. ANGELICA GARCIA,2021-03-01 17:32:00,"One million doses of Sinovac’s COVID-19 vaccine are expected to arrive in the Philippines in March.
Sinovac Biotech general manager Helen Yang said Monday they are still discussing the shipment with the Philippine government.
“We are discussing with the Philippine government to arrange another one million doses in March. We’re working on that,” Yang said in an interview on ANC.
Vaccine czar Carlito Galvez Jr. said the government will buy a million doses of the Sinovac vaccine worth P700 million within the month.
“Kaya po tayo, mayroon tayong procurement this coming March, mayroon po tayong one million from Sinovac,” Galvez explained during the briefing held on the first day of the country’s COVID-19 vaccination program.
OTHER STORIES
PRC ready to assist gov't in COVID-19 vaccination, Gordon says
PNP starts inoculation of personnel vs COVID-19 with Sinovac vaccines
Price of China's Sinovac donation? Roque says it's 'unquantifiable'
“May PO tayo na one million. Ang ginagawa kasi natin, ang agreement natin sa Sinovac, iyong per PO, ibig sabihin iyong Purchase Order, iyong Purchase Order na one million, mayroon na po tayong pondo doon. Ang pondo po natin doon is P700 million,” he added.
On Sunday, China’s donation of 600,000 COVID-19 vaccine doses from Sinovac arrived at the Villamor Airbase on a Chinese Y-20 Transporter aircraft.
The first batch of vaccines will be rolled out to several hospitals in the National Capital Region, marking a turning point in the country’s battle against COVID-19.
Earlier in the day, University of the Philippines-Philippine General Hospital director Dr. Gerardo Legaspi became the Philippines' first official recipient of a CoronaVac against COVID-19.
Several government officials, including vaccine czar Secretary Carlito Galvez Jr., Food and Drug Administration director general Eric Domingo, and testing czar Secretary Vince Dizon also received the Sinovac shot.
Meanwhile, Yang recommended that the second dose of the Sinovac shot should be taken after 14 to 28 days.
“Some countries do it 28 days but if under emergency, they can also follow 14 days apart,” she said.
“For this, I would recommend to follow the (Food and Drug Administration) recommendation,” she added.
Further, she said in most cases, the side effect is muscle pain.
So far, only the vaccines developed by Pfizer-BioNTech, AstraZeneca, and Sinovac have been approved for emergency use by the FDA.
The country aims to inoculate 50 to 70 million individuals within the year.—AOL, GMA News",GMA News
https://www.gmanetwork.com/news/news/nation/776957/house-approves-covid-19-vaccine-indemnity-fund-amid-pandemic/story/,House approves COVID-19 vaccine indemnity fund amid pandemic,ANNA FELICIA BAJO,2021-02-22 19:31:00,"The House of Representatives on Monday approved on third and final reading the bill on the creation of an indemnity fund to cover COVID-19 vaccination amid the pandemic.
Voting 225-0-6, lawmakers approved House Bill 8648 or the COVID-19 Vaccination Program Act of 2021, which also aims to expedite the procurement and administration of COVID-19 vaccines without having to go through the long process of public bidding.
Under the measure is the creation of a COVID-19 National Vaccine Indemnity Fund, which will be used to compensate any individual inoculated through COVID-19 vaccination program, in case of death, permanent disability, or hospitalization confinement.
""The amount of P500 million is hereby authorized to augment the funds of PhilHealth for this purpose which shall be sourced from the contingent fund as provided under Republic Act 11518 or the General Appropriations Act of 2021,"" the bill stated.
""The claim for indemnification for serious adverse event directly arising from the administration of COVID-19 vaccine must be filed within five years from the day of inoculation,"" it said.
OTHER STORIES
House starts plenary deliberations on economic Cha-cha
Roque on delayed Pfizer vaccine arrival: Hindi malaking issue yan
COVID vaccine reducing risk of hospitalizations, Scottish study suggests
The bill said the Inter-Agency Task Force should establish a special task group, composed of medical and vaccine experts, that will be directed to monitor if there will be negative effects of the vaccine.
The bill further states that provinces, cities and municipalities may procure or accept donations only in cooperation with the Department of Health and National Task Force through a multiparty agreement, which shall include the DOH and the relevant supplier or donor of COVID-19 vaccine.
""These LGUs shall procure no more than 50% of their target population for vaccination. Provided, further, that the 50% cap may be adjusted by the Inter-Agency Task Force for the Management of Emerging Infectious Diseases when there is sufficient supply of vaccines as determined by DOH and NTF,"" the bill said.
It also said the provision on advance payment shall apply to procurement of COVID-19 vaccines and ancillary supplies and services.
The measure added that LGUs may directly accept donation of vaccines as long as they have been procured through a multiparty agreement.
There will be a Vaccine Passport Program in the proposed measure, which will be the record of the vaccinations received by a certain individual.
This passport is intended to be digital and will note basic information of the person being vaccinated, the manufacturer of the vaccine, and the date of vaccination, among others.
The proposed measure will also exempt the procurement, deployment and administration of COVID-9 vaccines from import duties, taxes and other fees.
The said bill was certified as urgent by President Rodrigo Duterte last week. -NB, GMA News",GMA News
