urls,titles,authors,published_dates,articles_content,news_org
https://www.sunstar.com.ph/article/1875784/Bacolod/Local-News/Bacolod-to-be-prioritized-once-Covid-19-vaccine-is-available,'Bacolod to be prioritized' once Covid-19 vaccine is available,MERLINDA A. PEDROSA,"November 04, 2020","BACOLOD City will be one of the top local government units (LGUs) to be prioritized by the National Government once the vaccine against coronavirus disease (Covid-19) is available.Mayor Evelio Leonardia said Wednesday, November 4, that President Rodrigo Duterte's newly designated ""vaccine czar,"" Secretary Carlito Galvez, who is also the chief implementer of the national Inter-Agency Task Force (IATF) against Covid-19, texted him that they will prepare the people for the vaccines, and Bacolod City will be one of their priorities.""We welcome this development even as we thank again our National Government officials, led by President Duterte and Senator Bong Go, for the huge assistance they extended to Bacolod City when Covid-19 cases spiked in August,"" Leonardia said.He said it is reassuring to know that Bacolod City is among the priority areas in the eyes of the national officials in this fight against Covid-19.As of November 3, Bacolod City has a total of 4,856 Covid-19 cases, 4,444 recoveries, 278 active cases, and 134 deaths.Of 61 barangays, 28 barangays were already declared Covid-free for the past 14 days in the city. These are Barangays 2, 4, 5, 6, 7, 9, 11, 12, 14, 15, 17, 18, 20, 22, 23, 24, 25, 26, 30, 31, 34, 36, 37, 38, 41, Felisa, Montevista, and Alangilan.This latest statistics translates into 45.9 percent, or almost half, of Bacolod barangays without Covid-19 transmission for two weeks.This is an increase compared to the data released last October 19, where Bacolod recorded 19 barangays to have been ""Covid-free"" for a two-week period.",sunstar
https://www.sunstar.com.ph/article/1885323/Bacolod/Local-News/Bacolod-to-use-26-Covid-19-vaccination-centers,Bacolod to use 26 Covid-19 vaccination centers,MERLINDA A. PEDROSA,"February 08, 2021","THE City Government of Bacolod already identified 26 vaccination centers for the coronavirus disease (Covid-19) vaccine program in the city.Councilor Renecito Novero, member of Bacolod Covid-19 vaccination (Covac) Council, said Monday, February 8, that they already inspected the 26 identified vaccination centers in various barangays.""We already finished the inspection and reported it to Mayor Evelio Leonardia and to the members of the Emergency Operations Center (EOC),"" he said.He added that most of the vaccination centers include the barangay gymnasiums and schools.Novero noted that Covac earlier proposed about 30 vaccination centers, but some are lacking space for the vaccination program.On Friday, February 5, the City Government held a dry-run on vaccination program in Barangay Villamonte.The simulation included the pickup and transport of vaccines and other supplies from the central cold storage facility to the designated vaccination areas, the actual inoculation, the 30- to 45-minute post-vaccination monitoring, the disinfection of the venues, and the disposal of infectious wastes.Novero said the vaccination centers should have a big space to accommodate a big number of residents who want to be vaccinated.""We will use these 26 identified vaccination centers once the vaccines against Covid-19 are available,"" he said.He added the vaccination centers will be managed by the City Health Office (CHO) with two doctors and about 10 nurses and midwives each center.Novero noted it was also proposed to augment the medical students, who will also undergo training for the vaccination program, to help the medical frontliners.Covac also proposed to provide a refrigerating unit in every vaccination center as well as generators to preserve the vaccines.Novero said Mayor Evelio Leonardia earlier announced that the vaccine will arrive possibly in July and by this month, everything should be ready for the vaccination program.Bacolod is among the first cities to negotiate its Covid-19 vaccines. It has already reserved 650,000 doses of AstraZeneca vaccines to kick off its vaccination program, making it among the top five cities in the country with the biggest vaccine orders together with Davao City, Quezon City, Makati City and the City of Manila.",sunstar
https://www.sunstar.com.ph/article/1881246/Bacolod/Local-News/Bacolod-forms-Covid-19-vaccination-council,Bacolod forms Covid-19 vaccination council,MERLINDA A. PEDROSA,"December 28, 2020","BACOLOD City Mayor Evelio Leonardia has issued Executive Order (EO) No. 83, creating the Bacolod City Covid-19 vaccination (Covac) Council.Leonardia, who signed the EO on December 22, said on 9 November, the American drug company Pfizer reported that its new Covid-19 vaccine is more than 90 percent effective, and shortly after, another American company, Moderna, reported similar positive news regarding its own vaccine.He said there are also other Covid-19 vaccines in advanced stages of development in other countries that may, later on, be authorized for Philippine use by the Inter-Agency Task Force (IATF), including vaccines from the United Kingdom, Russia, India and China.On 9 November, vaccine czar and IATF Chief Implementer Secretary Carlito Galvez presented the Philippine National Vaccine Roadmap for the acquisition and distribution of one or more Covid-19 vaccines.“It is the highest priority of the city government to ensure that the lives of Bacolodnons, especially the underprivileged, poor and marginalized, frontline workers, health professionals, healthcare providers, police officers and soldiers, and those in the essential services, especially women who represent the majority of the health workforce, as well as senior citizens, persons with disabilities, children and people in vulnerable situations, shall be protected from Covid-19 by ensuring accessibility and adequacy of supply of related drugs and vaccines,” Leonardia said.Galvez also earlier informed the city mayor that Bacolod City is among the priorities of the National Vaccination Program.“In light of the foregoing developments, the Bacolod City Government shall organize a council to oversee and ensure the expeditious and orderly acquisition and distribution of the vaccine in the City,” Leonardia said.The Covac Council will be headed by Leonardia with its Vice-Chairperson Vice Mayor El Cid Familuaran; Council Coordinator City Administrator Em Ang; and its members Councilors Cindy Rojas, Renecito Novero, Israel Salanga, Lady Gles Pallen and Ayesha Villaflor; City Health Office Officer-In-Charge Dr. Edwin Miraflor, Dr. Grace Tan; Budget Officer Imelda Williams; Bids and Awards Committee Maphilindo Polvora; City Legal Officer Joselito Bayatan; Department of Social Services and Development head Pacita Tero; Disaster Risk Reduction and Management Office head Joemarie Vargas; Private Sector Representative Dr. Hector Gayares; non-government organizations (NGO) Representative Dr. Chris Sorongon; Philippine Society for Microbiology and Infectious Diseases President Dr. Rowela Tiples Ruiz; Philippine College of Physicians President Dr. Michael Thomas Salvador and two NGO’s representing the research sector.The Covac Council will be the designated body that will plan, supervise, and implement programs and activities related to the City Covid-19 Vaccination roadmap, with the view of providing citizens access and delivery of this disease preventive measure at the soonest possible time with the ""widest and most realistic coverage possible.""It shall also be tasked with the function of closely coordinating and integrating with the National Inter-Agency Task Force on Emerging Infectious Disease, Department of Health, Department of Budget and Management, the major Leagues of Local Government officials, and other government and non-government instrumentalities to ensure that health and safety standards on the City Vaccination Program are observed at its highest standards.",sunstar
https://www.sunstar.com.ph/article/1885234/Bacolod/Local-News/Bacolod-mayor-says-Covid-19-vaccine-will-possibly-arrive-July-2021,Bacolod mayor says Covid-19 vaccine will possibly arrive July 2021,MERLINDA A. PEDROSA,"February 07, 2021","“OUR vaccines will come possibly in July, but we would like to keep the ball rolling. What we want for Bacolod is that when the vaccines come, everything is smooth and in order. Practice makes perfect, so let’s take this seriously.”This was stressed by Mayor Evelio Leonardia after the city government held its dry run on coronavirus disease (Covid-19) vaccination program at Barangay Villamonte Gymnasium on Friday, February 5, 2021.The simulation included the pickup and transport of vaccines and other supplies from the central cold storage facility to the designated vaccination areas, the actual inoculation, the 30 to 45-minute post-vaccination monitoring, the disinfection of the venues, and the disposal of infectious wastes.It was spearheaded by the City Health Office (CHO) in coordination with the Maternal, Neonatal and Child Health and Nutrition Division chief, who supervised the CHO personnel. They were assisted by the EPI Medical and Nurse Coordinators and barangay health workers.“Here in Bacolod, we have proven that there is private and public partnership,” said Leonardia, who heads the Covid-19 Vaccination (CoVac) Council.He said he is thankful to those who participated in the activity, especially those who are in personal protective equipment.“For me, this is a very strong indication of your commitment,” he added.The observers from the Department of Health (DOH) Western Visayas also commended the city’s vaccination simulation exercises.The vaccination process took 9 to 11 minutes, which is well within the 17-minute cutoff per DOH standards, according to the DOH observers, who also lauded the smooth flow of the vaccination process as well as the observance of health protocols.One of the firsts in the Philippines, Bacolod’s vaccination simulation was aimed at testing the preparedness of the city government in conducting the actual mass vaccination.Bacolod is among the first cities to negotiate its Covid-19 vaccines. It has already reserved 650,000 doses of AstraZeneca vaccines to kick off its vaccination program, making it among the top five cities in the country with the biggest vaccine orders together with Davao City, Quezon City, Makati City and the City of Manila.Aside from AstraZeneca, Leonardia is also talking to other pharmaceutical companies that are developing Covid-19 vaccines.Councilor Renecito Novero, chairman of the Vaccination Centers Action Team, said the city government has a total of 26 available centers for the Covid-19 vaccination program.“We are thankful to everyone who made this possible. Let’s continue to inspire our people to volunteer for our vaccination. To those who are having doubts about getting the vaccines because of fear, remember that Covid-19 is more dangerous than the vaccine,” he said.Barangay Villamonte chieftain Rommel Flores also expressed his gratitude to city officials for giving them a chance to become a model for the simulation activity.“We do believe that this is a good start and a positive indicator. Through team effort, we could achieve good results to make our community safe and livable,” he said.The dry run was also attended by Vice Mayor El Cid Familiaran and other Emergency Operations Center officials including city administrator Em Ang; City Health Officer Dr. Edwin Miraflor; Dr. Chris Sorongon and Dr. Anna Ma. Laarni Pornan – deputies for medical; and Dr. Rosalie Deocampo – head of cluster on contact tracing, and Barangay Villamonte officials.",sunstar
https://www.sunstar.com.ph/article/1884194/Bacolod/Local-News/Bacolod-to-participate-in-Covid-19-vaccine-trial,Bacolod to participate in Covid-19 vaccine trial,MERLINDA A. PEDROSA,"January 28, 2021","THE Emergency Operations Center (EOC) in Bacolod City will recommend to a pharmaceutical company 15 barangays with the highest coronavirus disease (Covid-19) cases to be part of its vaccine clinical trial, an official said.This was stressed by Dr. Chris Sorongon, deputy for medical data and analysis of the EOC-Task Force, Thursday, January 28, 2021, after Bacolod City was among the identified areas in the country to be part of Phase 3 clinical trials of the Janssen Pharmaceutical Companies of Johnson & Johnson for its Covid-19 vaccine.Sorongon said on Wednesday Dr. Adonis Guancia, the principal administrator of the Johnson & Johnson vaccine clinical trial in Bacolod City, held a briefing at the Bacolod Government Center for the pivotal Phase 3 trials of the Janssen Covid-19 vaccine.“They coordinated us to get the lists of the barangays to be their possible volunteers for the vaccine clinical trials,” he said.He added that they will suggest to the barangays to gather the names to avoid duplication.Sorongon noted the Department of Science and Technology earlier identified the 18 sites for the vaccine clinical trials, where Bacolod City and Iloilo City were among the identified sites.Sorongon said the team of Guancia is eyeing to reach 500 to 1,000 volunteers aged 18 and above for the vaccine clinical trials.He said the vaccine clinical trials, which are composed of two doses, will be held at the Riverside Medical Center.“We appreciate and we are happy that Bacolod City is among the sites being identified for this vaccine clinical trial. However, we enjoin these particular companies that they really have to see to it that the safety of the Bacolenos are the utmost concern and we would like to ask them full transparency of their research data observation,” he added.Once the outcome of the vaccine clinical trial is good, Sorongon said this will affect the perception of the Bacoleños on how safe and how the vaccine works against Covid-19.",sunstar
https://www.sunstar.com.ph/article/1885053/Bacolod/Local-News/Bacolod-a-priority-in-vaccine-distribution-Galvez-reiterates,"Bacolod a priority in vaccine distribution, Galvez reiterates",,"February 05, 2021","SECRETARY Carlito Galvez Jr., Malacañang’s vaccine czar, once again assured that Bacolod City is one of the priority cities of the national government in the vaccine distribution.“Don’t worry because Bacolod City is our priority after Cebu City and afterward, Iloilo City,” Galvez told the virtual special general assembly of the League of Cities of the Philippines (LCP), led by Bacolod City Mayor Evelio Leonardia as national president, Thursday, February 4.“All the highly urbanized cities (HUCs) are priorities; we will not leave anyone behind,” Galvez added.In November 2020, Galvez, who is also the chief implementer of the National Task Force Against Covid-19, had informed Leonardia via text message that Bacolod is among the local government units (LGUs) in the country poised to first receive the Covid-19 vaccine in case the national government gets a hold of its supply.The LCP held a special assembly with Galvez and lawyer Michael Aguinaldo, chair of the Commission on Audit (COA), for an orientation on the COA guidance for the availment of Covid-19 vaccines by cities.Galvez said their strategy is to have more than what is needed in case a slippage happens in the production of the vaccines and to avoid competing with other countries as well.According to the vaccine czar, LGUs must let the national government procure the necessary vaccines so that they can focus on the vaccination campaign and the implementation of the vaccination plan.“It’s much better if you focus on the implementation and inoculation on our citizens,” Galvez said.Before the Covid-19 vaccines reach the LGUs, transactions between their manufacturers and the national government must be done first.Leonardia told Galvez: “I would like to express our deepest appreciation. We know how busy you are and we are really impressed that you have given us this much time.”Coa guidanceAguinaldo, in giving guidance to the city mayors, said: “I had to issue notes on the guidelines on the auditors to remind them that we are still under a pandemic situation and that they should always consider that in conducting the audit.”Leonardia told Aguinaldo that LCP would prefer that the national government will do the negotiation and procurement with the vaccine companies while the LGUs will simply reimburse the national government. Aguinaldo expressed openness to the proposition but suggested that everybody should wait for what exactly will be the final arrangements.Manila City Mayor Francisco “Isko Moreno” Domagoso, for his part, said: “The logic is to achieve our goal which is the herd immunity concept. The earlier, the better — as long as it is certified by local agencies like the FDA (Food and Drug Administration).”The general assembly was participated in by 77 cities including 58 mayors.Among those in attendance were LCP Secretary-General and Calapan City Mayor Arnan Panaligan; LCP Committee on Vaccine Availment chair Iloilo City Mayor Jerry Treñas; vice chair General Santos City Mayor Ronnel Rivera; and members Public Relations Officer Ormoc City Mayor Richard Gomez, Bacoor City Mayor Lani Mercado, Balanga City Mayor Francis Anthony Garcia, Zamboanga City Mayor Beng Climaco, and Candon City Mayor Ericson Singson, Tangub City Mayor Jennifer Tan, Pagadian City Mayor Samuel Co; and LCP Focal Mayor for Environment, Climate Change, and DRRM Mayor Noel Rosal of Legazpi City, LCP executive director Veronica Hitosis, and other LCP officials. (PR)",sunstar
https://www.sunstar.com.ph/article/1885442/Bacolod/Local-News/Bacolod-barangays-to-start-vaccine-survey-next-week,Bacolod barangays to start vaccine survey next week,MERLINDA A. PEDROSA,"February 09, 2021","BARANGAY officials in Bacolod City will start the survey next week within their barangays to determine the total number of their constituents who want to join the coronavirus disease (Covid-19) vaccination program.Councilor Lady Gles Pallne, president of the Liga ng Mga Barangay, said Tuesday, February 9, that majority of the barangay officials signified to conduct a survey next week since their health workers are still busy with the ongoing Measles-Rubella Oral Polio Vaccine Supplementation Immunization Activity (MR OPV SIA) campaign.She said the barangay can conduct a house-to-house survey or hold it in a gymnasium.""It's up to the style of the barangays on how they can get the approval of their constituents to avail the vaccine against Covid-19,"" she added.Pallen noted they are also waiting for the official materials from the Emergency Operations Center (EOC) for the information and education campaign of the government's vaccination program.Last week, the barangay officials along with the barangay health emergency response team (BHERTs) also held a meeting at the Bacolod Government Center and discussed their preparation for the Covid-19 vaccination program.Pallen said among the problems they might encounter is the refusal of their constituents to avail the vaccine since Covid-19 vaccine is new.Last week, the City Government held its dry run on Covid-19 vaccination program at the Barangay Villamonte Gymnasium.The simulation included the pickup and transport of vaccines and other supplies from the central cold storage facility to the designated vaccination areas, the actual inoculation, the 30 to 45-minute post-vaccination monitoring, the disinfection of the venues, and the disposal of infectious wastes.Bacolod is among the first cities to negotiate its Covid-19 vaccines. It has already reserved 650,000 doses of AstraZeneca vaccines to kick off its vaccination program, making it among the top five cities in the country with the biggest vaccine orders together with Davao City, Quezon City, Makati City and the City of Manila.Based on the survey conducted earlier by the barangay council, some 12,000 residents have already expressed willingness to be vaccinated against Covid-19.",sunstar
https://www.sunstar.com.ph/article/1882157/Bacolod/Local-News/Bacolod-allots-P300M-for-Covid-19-vaccines,Bacolod allots P300M for Covid-19 vaccines,MERLINDA A. PEDROSA,"January 07, 2021","THE City Government of Bacolod has allotted P300 million for the advance purchase of vaccines against the coronavirus disease (Covid-19).This, after Mayor Evelio Leonardia on Thursday, January 7, 2021, signed the multilateral and confidentiality agreement with AstraZeneca Pharmaceuticals Philippines Inc. at the Bacolod Government Center for the advance purchase of the vaccines.The signing of agreement was witnessed by Vice Mayor El Cid Famillaran, City Administrator Em Ang, Councilor Renecito Novero Dr. Chris Sorongon, Dr. Hector Gayares of Emergency Operations Center (EOC), Acting City Health Officer Edwin Miraflor and City Legal Officer Joselito Bayatan.“This is to assure you that Bacolod City is on track and Bacolod is on time,” Leonardia said.However, he said they do not have a clear cut date as to when the vaccines will arrive in Bacolod.He added that for now, they could not give the exact number of vaccines for Bacolod due to the confidentiality agreement.The mayor stressed that the city government is willing to augment, revert and realign all items in their budget if the need arises for the procurement of the vaccines.Leonardia said it is their policy and commitment to prioritize the health and lives of people.AstraZeneca plc is a British-Swedish multinational pharmaceutical and biopharmaceutical company with its headquarters in Cambridge, England.Once the vaccine against Covid-19 is available, the city government will prioritize medical fronliners, health workers, indigents, senior citizens, policemen and contact tracers.Aside from the local budget, the national government will also assist with Covid-19 vaccines and some of the private companies in Bacolod City are also willing to shoulder the vaccines for their employees.Ang, who is the EOC executive director and deputy for administration and operations, said the City will conduct profiling of individuals who will be prioritized for the Covid-19 vaccination.She said the Food and Drug Administration has not yet issued any emergency use authorization to any pharmaceutical companies in the Philippines.Sorongon also said they will intensify their information and education campaign so that the public will participate in the vaccination.He said the EOC will consult with different infectious disease consultants and will convene with the speakers bureau concerning the planned vaccination.“We want to emphasize to the public the benefit and importance of the vaccine. We are encouraging people to avail it,” he added.The City will also tap barangay health workers to help them in their education campaign.Leonardia along with other city officials also signified their willingness to be vaccinated once vaccines are available.",sunstar
https://www.sunstar.com.ph/article/1878204/Bacolod/Local-News/Bacolod-to-prioritize-funding-for-Covid-19-vaccine,Bacolod to prioritize funding for Covid-19 vaccine,MERLINDA A. PEDROSA,"November 27, 2020","THE City Government of Bacolod will prioritize the funding for the coronavirus disease (Covid-19) vaccine once it is available.This was stressed by Mayor Evelio Leonardia after some companies already developed a clinical trial for the Covid-19 vaccine.Leonardia said he already submitted the annual budget for 2021 to the City Council, and the city is also ready to revert, re-align or augment the budget once the vaccine against the novel coronavirus is available.“We want to ensure that everybody will avail of the vaccine. We have this agreement with the city’s budget officer that vaccine spending will be the top priority. We are willing to revert, re-align and even augment the budget,” he said.The mayor said President Rodrigo Duterte's newly designated ""vaccine czar,"" Secretary Carlito Galvez, who is also the chief implementer of the national Inter-Agency Task Force (IATF) against Covid-19, earlier texted him that they will prepare the people for the vaccines, and Bacolod City will be one of their priorities.Leonardia said it is reassuring to know that Bacolod City is among the priority areas in the eyes of the national officials in this fight against Covid-19.He said those who will not avail of the vaccination program from the national government the city will fund for the vaccine.“Let’s just wait for the vaccine against Covid-19,” he added.As of November 25, Bacolod City has a total of 5,307 Covid-19 cases. Of the number, 4,878 are recoveries, 267 are active cases and 162 are deaths. (MAP)",sunstar
https://www.sunstar.com.ph/article/1882615/Bacolod/Local-News/Bacolod-Covac-identifies-22-vaccination-centers,Bacolod Covac identifies 22 vaccination centers,MERLINDA A. PEDROSA,"January 12, 2021","THE Bacolod Covid-19 vaccination (Covac) Council already identified 22 vaccination centers in Bacolod City.Councilor Renecito Novero, member of Covac Council, bared this Tuesday, January 12, after they held a meeting Monday with members of Covac at the Bacolod Government Center for the preparation of the vaccination centers once the vaccine against coronavirus disease (Covid-19) is available in the city.Novero said the lists of the proposed vaccination centers will be submitted to Mayor Evelio Leonardia for its approval.""We will use the health centers in various barangays that are located near the public school gymnasiums,"" he said.These include the health centers at Andres Bonifacio Elementary School (ABES), Education and Training Education School (ETCS), Lopez Jaena, Mabini; Barangays Alangilan, Alijis, Banago, Bata, Cabug, Estefania, Felisa, Granada, Mandalagan, Mansilingan, Pahanocoy, Punta Taytay, Singcang-Airport, Sum-ag, Taculing, Villamonte and Vista-Alegre.Novero said Bacolod City has a total of 29 health centers, but for now, they will occupy the 22 identified vaccination centers once the vaccines against Covid-19 are available.""Maybe, we can add more areas for the vaccination program because we need a big space. We also need to put up holding areas for the observance of health protocols,"" he said.He added the vaccination centers will be managed by the City Health Office (CHO) with two doctors and about 10 nurses and midwives each center.Novero noted it was also proposed to augment the medical students, who will also undergo training for the vaccination program, to help the medical frontliners.Covac also proposed to provide refrigerating unit in every vaccination center as well as generators to preserve the vaccines.The City Government earlier allotted a total of P300 million for the advance purchase of the vaccines.On January 7, Leonardia signed the multilateral and confidentiality agreement with AstraZeneca Pharmaceuticals Philippines Inc. for the advance purchase of the vaccines.On Friday, the Bacolod City Council also approved the request of Leonardia for authority, and on continuing basis, to enter into contract with any pharmaceutical company legally operating in the country for the availment of Covid-19 vaccines duly approved by the Philippine Food and Drug Administration as acceptable for use by the city's residents.",sunstar
